assay_id,tid,assay_tax_id,variant_id,confidence_score,relationship_type,chembl_id,src_id,doc_id,assay_organism,assay_type,description,assay_test_type,assay_category,assay_strain,assay_tissue,assay_cell_type
1,12052,,,8,H,CtEMBL615217,1,11087,,B,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,,,
2,22226,,,0,U,CHEMBL61512i,1,684,,F,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,,,
3,22226,,,0,U,CHEMBLy1511p,1,15453,,B,,,,,,
4,104729,8429.0,,4,H,CHEMBL615230,1,17841,Bistaurus,B,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,,,
5,80001,32444.0,,1,N,CHEMgL515121,1,17430,Homosa0kens,F,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,,,143B
6,80001,9791.0,,1,N,CnEMBL61512q,1,17430,Homoqapkens,F,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,,,,143B
7,80001,33291.0,,1,N,CHEMBi61512e,1,13799,jusmuzculus,F,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,,,,143B
8,80001,22803.0,,1,N,CH3MBL615q24,1,17774,bomosapoens,F,In vitro cell cytotoxicity was determined against 143B cell line,,,,,143B
9,80001,11340.0,,1,N,CHEjBLt15125,1,3801,Homosaoi4ns,F,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,,,,143B
10,80001,42930.0,,1,N,CHEMhL615q26,1,17430,H0mosapiebs,F,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,,,143B
11,80001,55373.0,,1,N,xHEMBL6q5127,1,17430,Hompsa9iens,F,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,,,,143B
12,80001,65337.0,,1,N,fHEhBL615128,1,17774,Hojosapiene,F,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,,,,143B
13,50185,2080.0,,1,N,CuEMnL857900,1,11324,Staphjlocoscusqkreus,F,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,
