film_id,categoria_id
501,1
340,13
780,8
715,8
137,14
783,16
833,3
811,16
519,15
443,5
334,11
155,13
131,4
538,13
186,7
990,11
794,1
35,11
968,1
134,2
37,4
700,8
895,4
382,10
662,7
934,10
596,10
390,14
8,11
499,8
448,13
77,13
840,10
160,2
215,10
54,12
418,7
294,16
756,5
784,16
368,7
206,6
82,8
507,10
699,10
328,3
393,6
179,7
148,9
118,2
894,16
818,7
329,1
597,10
327,1
99,5
128,9
401,7
364,13
301,11
187,15
335,5
922,11
832,8
607,9
668,15
257,16
297,4
318,1
959,3
17,12
394,14
613,5
170,9
809,15
986,2
799,11
521,7
389,15
917,15
285,14
56,1
107,7
453,15
478,5
603,8
354,3
449,14
505,3
168,3
467,9
957,9
616,6
612,15
96,13
417,1
595,9
360,1
876,11
248,6
552,6
495,11
621,8
685,13
171,11
481,13
145,8
941,10
245,2
675,13
510,2
853,3
203,14
307,16
735,3
337,9
722,11
671,15
66,3
731,4
414,9
732,1
546,10
944,7
34,11
620,14
1,6
776,6
233,16
433,2
896,3
796,15
932,5
693,2
25,13
786,3
982,1
483,10
936,12
861,10
123,16
885,11
241,2
249,4
409,3
164,6
446,15
157,3
488,15
614,10
395,1
747,10
751,13
923,7
865,2
931,16
188,5
572,14
619,15
232,10
849,2
419,8
63,8
11,9
438,10
194,1
490,13
672,5
938,5
772,7
609,16
682,8
785,16
955,3
752,12
224,16
748,1
900,9
339,16
44,14
309,8
835,10
660,5
976,10
567,9
30,11
473,7
867,8
544,6
385,5
362,10
144,13
566,9
994,13
791,6
870,11
140,14
234,14
166,4
525,4
387,10
459,9
632,13
778,8
644,2
523,4
862,4
429,15
185,9
827,7
302,10
940,15
152,3
197,15
183,8
347,16
947,9
375,1
357,4
46,10
812,6
109,13
537,4
379,7
740,11
363,12
927,1
358,4
757,6
654,10
589,6
837,5
244,12
142,6
911,1
427,6
444,5
852,3
97,1
20,12
871,5
838,1
238,3
18,2
380,9
229,1
397,14
85,6
313,11
117,10
231,8
129,6
33,7
436,13
62,6
494,11
95,13
431,9
71,8
661,9
970,4
810,8
280,3
73,14
640,9
643,7
55,14
75,16
36,2
102,15
369,14
451,16
156,6
43,8
670,6
89,2
563,10
201,9
629,6
226,13
336,6
58,6
680,5
531,9
230,7
887,2
524,5
801,3
236,10
522,5
31,8
554,4
943,6
766,7
677,13
413,5
830,11
452,9
858,5
532,15
707,1
491,3
550,8
420,15
450,3
781,10
854,11
575,6
878,16
913,13
371,1
110,3
712,6
28,5
500,9
323,15
905,5
411,12
726,9
84,16
167,16
124,3
79,7
424,3
886,2
64,7
305,13
21,1
504,7
974,13
367,14
692,2
773,15
381,10
162,1
349,2
935,13
859,2
182,5
405,16
584,9
57,16
198,9
325,2
267,13
851,15
611,4
582,2
912,14
964,1
316,10
60,4
74,12
559,14
633,4
527,11
676,15
252,1
803,7
330,2
764,15
674,9
705,9
119,5
29,1
539,7
207,9
664,1
879,12
47,9
383,15
950,4
287,1
536,4
903,16
222,11
658,11
570,15
399,9
351,11
374,14
804,11
591,10
331,10
5,8
985,14
174,12
888,6
666,7
769,9
242,5
165,14
646,10
564,2
208,2
315,8
875,15
462,12
150,6
314,2
228,4
562,12
386,16
857,5
540,12
701,10
10,15
19,1
72,6
345,8
678,15
949,10
454,12
883,3
667,15
211,10
112,9
412,6
839,14
61,7
271,1
3,6
665,11
741,12
630,7
400,6
669,9
958,7
16,9
710,8
625,14
610,8
120,15
350,14
789,9
901,2
642,16
310,10
578,4
121,2
39,14
153,14
768,3
114,14
275,11
965,11
574,1
81,14
403,7
465,13
113,15
850,1
138,14
299,16
469,4
797,12
966,6
434,16
954,13
416,9
808,4
892,2
711,14
435,9
586,1
515,3
533,9
795,8
545,9
738,9
50,8
819,12
105,1
758,7
425,4
939,5
718,12
743,2
326,2
605,9
981,16
141,10
45,13
730,13
760,13
866,8
220,12
561,13
946,8
262,8
962,4
690,2
276,5
834,6
689,9
487,4
628,15
647,12
442,8
920,13
266,4
466,6
291,15
972,14
691,15
361,15
492,13
694,4
898,15
258,11
627,6
793,1
53,8
70,2
989,16
100,9
869,1
698,6
289,13
770,9
573,3
520,14
52,9
800,11
447,10
991,1
480,4
516,12
163,13
777,15
461,2
663,4
440,9
468,3
430,2
754,5
979,7
585,7
535,11
460,9
924,14
219,6
529,5
343,3
798,14
600,11
125,16
344,3
509,3
221,6
172,7
828,4
158,12
342,16
655,14
583,2
745,15
94,8
638,5
846,13
579,1
790,7
49,14
256,15
933,13
304,3
355,2
624,10
599,15
292,1
825,1
657,5
372,15
216,13
814,5
868,16
312,14
218,7
213,8
471,4
181,16
126,1
106,10
713,6
915,1
143,7
296,14
15,9
76,12
551,13
288,16
759,13
528,8
353,9
177,14
921,12
437,8
489,2
928,3
918,3
802,1
24,11
925,6
767,12
23,2
604,5
806,13
127,5
91,4
996,6
792,9
240,14
376,9
98,7
370,3
765,5
59,3
196,4
594,1
247,5
151,14
641,9
716,11
618,7
829,8
543,16
69,14
338,14
714,14
22,13
306,10
250,1
807,10
189,10
474,15
856,11
909,11
111,1
254,15
147,8
149,3
251,13
593,11
568,5
971,9
953,2
659,1
214,3
592,12
686,13
235,14
133,12
997,12
728,7
392,3
311,9
317,5
948,13
914,16
200,10
842,10
845,9
696,2
268,2
542,1
824,8
269,8
973,6
560,10
547,3
432,4
719,15
146,7
649,2
817,14
897,7
645,16
930,14
889,3
298,14
910,7
210,1
587,6
365,5
723,14
956,10
805,2
277,11
739,7
831,14
848,16
874,4
919,10
779,15
115,1
209,7
598,15
458,8
176,15
821,9
373,3
761,3
255,12
899,4
626,3
651,2
108,13
518,16
967,14
12,12
103,16
569,2
384,12
193,2
40,6
290,9
502,5
787,16
475,11
122,11
464,2
737,11
93,13
942,7
576,6
750,13
951,4
893,14
652,4
602,14
4,11
1000,5
902,15
68,3
506,11
907,7
6,9
333,12
173,7
635,13
477,12
541,2
863,14
493,9
526,16
590,13
87,16
423,3
270,13
880,2
844,15
479,8
408,10
283,13
622,6
303,1
744,4
80,8
606,15
78,2
969,7
836,15
415,11
581,12
324,5
511,1
90,13
637,14
295,6
855,6
202,5
843,4
32,13
356,3
873,3
195,14
615,2
995,11
961,9
724,8
485,3
65,11
278,12
977,16
88,16
916,2
673,12
192,9
41,16
530,1
259,2
717,1
729,15
410,5
135,15
963,2
653,11
601,16
486,9
281,10
