città_id,città,stato_id
524,Tandil,6
478,Siliguri (Shiliguri),44
149,Dundee,102
497,Springs,85
269,Kingstown,81
275,Konotop,100
232,Jakarta,45
406,Phnom Penh,18
448,Sambhal,44
219,Iligan,75
366,Nha Trang,105
401,Patras,39
454,San Miguel de Tucumán,6
43,Avellaneda,6
463,Sasebo,50
130,Cuautla,60
313,London,20
563,Valle de Santiago,60
445,Salamanca,60
514,Tabriz,46
113,Cheju,86
349,Myingyan,64
431,Rio Claro,15
421,Qalyub,29
176,Gandhinagar,44
9,Ahmadnagar,44
279,Kowloon and New Kowloon,42
318,Madiun,45
498,Stara Zagora,17
191,Gulbarga,44
202,Hidalgo,60
126,Compton,103
482,Sivas,97
239,Jhansi,44
262,Kansas City,103
364,Newcastle,85
110,Chapra,44
422,Qinhuangdao,23
325,Mannheim,38
299,Leshan,23
102,Caracas,104
402,Pavlodar,51
507,Sungai Petani,59
17,Alessandria,49
98,Cabuyao,75
501,Sucre,14
208,Hoshiarpur,44
21,Alvorada,15
338,Miyakonojo,50
6,Addis Abeba,31
474,Shimonoseki,50
141,Deba Habe,69
245,Joliet,103
263,Karnal,44
595,Zapopan,60
537,Tieli,23
518,Taizz,107
337,Mit Ghamr,29
339,Mogiljov,13
370,Nuku´alofa,95
387,Oulu,33
505,Sumqayit,10
282,Kuching,59
76,Bhopal,44
553,Uijongbu,86
198,Halle/Saale,38
35,Ashgabat,98
369,Novotšerkassk,80
184,Gorontalo,45
41,Augusta-Richmond County,103
316,Lungtan,92
87,Botshabelo,85
355,Nagareyama,50
525,Tangail,12
469,Shaoguan,23
303,Liepaja,54
309,Livorno,49
559,Uttarpara-Kotrung,44
54,Banjul,37
328,Maringá,15
439,Saarbrücken,38
441,Saint Louis,103
268,Kimchon,86
135,Dallas,103
562,Valle de la Pascua,104
336,Miraj,44
588,Yingkou,23
428,Rancagua,22
51,Balurghat,44
379,Omdurman,89
350,Mysore,44
500,Stockport,102
434,Ríobamba,28
145,Dongying,23
259,Kamyšin,80
254,Kaliningrad,80
331,Matsue,50
323,Mandaluyong,75
159,Enshi,23
375,Okara,72
234,Jamalpur,12
49,Balašiha,80
211,Hubli-Dharwad,44
371,Nuuk,40
121,Città del Vaticano,41
77,Bhusawal,44
540,Tongliao,23
229,Izumisano,50
118,Ciomas,45
160,Erlangen,38
253,Kakamigahara,50
66,Belém,15
487,Sogamoso,24
204,Hino,50
33,Arlington,103
451,San Felipe del Progreso,60
437,Rustenburg,85
4,Acuña,60
423,Qomsheh,46
435,Rockford,103
538,Tokat,97
352,Nabereznyje Tšelny,80
230,Jaffna,88
192,Hagonoy,75
334,Merlo,6
119,Ciparay,45
122,Ciudad del Este,73
304,Lilongwe,58
128,Córdoba,6
399,Pathankot,44
555,Urawa,50
556,Uruapan,60
365,Nezahualcóyotl,60
341,Monclova,60
551,Udine,49
164,Etawah,44
46,Baicheng,23
45,Bahía Blanca,6
383,Oshawa,20
209,Hsichuh,92
7,Aden,107
362,Nanyang,23
503,Sullana,74
468,Shanwei,23
182,Gingoog,75
228,Iwatsuki,50
485,São Bernardo do Campo,15
248,Juiz de Fora,15
277,Korla,23
499,Sterling Heights,103
488,Sokoto,69
63,Béchar,2
359,Nam Dinh,105
342,Monywa,64
238,Jelets,80
344,Mosul,47
565,Vancouver,20
384,Osmaniye,97
395,Palghat (Palakkad),44
241,Jining,23
194,Haiphong,105
523,Tanauan,75
287,Kuwana,50
255,Kalisz,76
156,Elista,80
528,Tarlac,75
23,Amersfoort,67
585,Yaoundé,19
481,Sirjan,46
404,Peoria,103
290,La Romana,27
314,Lublin,76
403,Pemalang,45
361,Nantou,92
100,Cam Ranh,105
377,Okinawa,50
456,Santa Bárbara d´Oeste,15
527,Tanza,75
22,Ambattur,44
89,Brasília,15
393,Pachuca de Soto,60
244,Johannesburg,85
300,Lethbridge,20
407,Pingxiang,23
114,Chiayi,92
340,Molodetšno,13
16,al-Qatif,82
107,Chandrapur,44
413,Poços de Caldas,15
554,Uluberia,44
124,Coacalco de Berriozábal,60
200,Hamilton,68
109,Changzhou,23
509,Surakarta,45
171,Fontana,103
519,Talavera,75
571,Vinh,105
154,El Fuerte,60
520,Tallahassee,103
199,Hami,23
264,Katihar,44
144,Dhule (Dhulia),44
139,Daxian,23
348,Mwene-Ditu,25
400,Patiala,44
190,Águas Lindas de Goiás,15
196,Halifax,20
461,Santo André,15
599,Zhoushan,23
566,Varanasi (Benares),44
301,Lhokseumawe,45
573,Warren,103
80,Binzhou,23
438,´s-Hertogenbosch,67
220,Ilorin,69
363,NDjamna,21
186,Graz,9
111,Charlotte Amalie,106
227,Iwakuni,50
473,Shimoga,44
376,Okayama,50
61,Baybay,75
574,Weifang,23
388,Ourense (Orense),87
534,Tete,63
213,Huixquilucan,60
594,Zaoyang,23
10,Akishima,50
321,Malmö,90
20,Almirante Brown,6
426,Rajkot,44
467,Shahr-e Kord,46
390,Oyo,69
367,Niznekamsk,80
30,Araçatuba,15
177,Garden Grove,103
420,Pyongyang,70
548,Tuguegarao,75
265,Kermanshah,46
444,Salala,71
261,Kanchrapara,44
28,Aparecida de Goiânia,15
475,Shivapuri,44
315,Lubumbashi,25
391,Ozamis,75
513,Tabora,93
386,Otsu,50
517,Taguig,75
296,Lausanne,91
483,Skikda,2
462,Sanya,23
224,Isesaki,50
378,Olomouc,26
84,Boa Vista,15
360,Namibe,4
216,Idfu,29
215,Ibirité,15
295,Laredo,103
18,Allappuzha (Alleppey),44
79,Bilbays,29
197,Halisahar,44
329,Masqat,71
27,Antofagasta,22
477,Siegen,38
596,Zaria,69
195,Haldia,44
73,Bhavnagar,44
13,al-Hawiya,82
546,Tsaotun,92
233,Jalib al-Shuyukh,53
415,Probolinggo,45
536,Tiefa,23
465,Sawhaj,29
82,Bislig,75
581,Xinxiang,23
427,Rampur,44
450,San Felipe de Puerto Plata,27
57,Bat Yam,48
579,Xi´angtan,23
356,Najafabad,46
373,Ocumare del Tuy,104
132,Cumaná,104
572,Vitória de Santo Antão,15
480,Sincelejo,24
522,Tambaram,44
62,Bayugan,75
116,Chungho,92
203,Higashiosaka,50
75,Bhimavaram,44
161,Escobar,6
429,Ranchi,44
414,Portoviejo,28
94,Brockton,103
115,Chisinau,61
550,Udaipur,44
56,Basel,91
557,Usak,97
42,Aurora,103
148,Duisburg,38
293,Laohekou,23
240,Jinchang,23
47,Baiyin,23
317,Luziânia,15
389,Owo,69
97,Bydgoszcz,76
457,Santa Fé,6
81,Birgunj,66
471,Shenzhen,23
397,Papeete,36
131,Cuernavaca,60
374,Ogbomosho,69
38,Athenai,39
459,Santiago de Compostela,87
236,Jastrzebie-Zdrój,76
163,Eskisehir,97
206,Hodeida,107
226,Iwaki,50
12,al-Ayn,101
270,Kirovo-Tšepetsk,80
249,Junan,23
586,Yerevan,7
510,Syktyvkar,80
345,Mukatševe,100
105,Cayenne,35
333,Memphis,103
150,Dzerzinsk,80
231,Jaipur,44
432,Rizhao,23
24,Amroha,44
590,Yuncheng,23
583,Yangor,65
71,Berhampore (Baharampur),44
466,Serpuhov,80
529,Tarsus,97
129,Cuauhtémoc,60
272,Kitwe,109
69,Benin City,69
433,Roanoke,103
286,Kursk,80
544,Toulouse,34
187,Greensboro,103
307,Linz,9
408,Pjatigorsk,80
381,Ondo,69
347,Mwanza,93
580,Xintai,23
158,Emmen,67
335,Mexicali,60
436,Ruse,17
504,Sultanbeyli,97
37,Asunción,73
472,Shikarpur,72
405,Pereira,24
120,Citrus Heights,103
294,Lapu-Lapu,75
246,José Azueta,60
578,Xi´angfan,23
582,Yamuna Nagar,44
106,Celaya,60
166,Ezhou,23
593,Zanzibar,93
281,Kütahya,97
26,Anápolis,15
486,São Leopoldo,15
561,Valencia,104
247,Juazeiro do Norte,15
326,Maracaíbo,104
78,Bijapur,44
458,Santa Rosa,75
53,Bandar Seri Begawan,16
201,Hanoi,105
123,Clarksville,103
267,Kimberley,85
372,Nyeri,52
589,York,102
91,Brescia,49
560,Vaduz,55
175,Fuzhou,23
380,Omiya,50
343,Moscow,80
252,Kaduna,69
235,Jaroslavl,80
52,Bamenda,19
271,Kisumu,52
112,Chatsworth,85
251,Kabul,1
442,Saint-Denis,79
140,Dayton,103
142,Denizli,97
205,Hiroshima,50
419,Purwakarta,45
14,al-Manama,11
491,Soshanguve,85
258,Kamjanets-Podilskyi,100
70,Bergamo,49
136,Datong,23
495,Southend-on-Sea,102
385,Šostka,100
511,Syrakusa,49
516,Tafuna,3
443,Salé,62
322,Manchester,103
165,Ezeiza,6
531,Tšeboksary,80
44,Bagé,15
417,Pune,44
67,Benguela,4
257,Kamarhati,44
512,Székesfehérvár,43
410,Poá,15
564,Valparai,44
455,Sanaa,107
174,Fuyu,23
541,Torreón,60
151,Ede,67
298,Lengshuijiang,23
452,San Juan Bautista Tuxtepec,60
479,Simferopol,100
104,Cavite,75
330,Matamoros,60
449,San Bernardino,103
521,Tama,50
493,South Hill,5
32,Arecibo,77
138,Davao,75
90,Bratislava,84
68,Beni-Mellal,62
508,Sunnyvale,103
412,Pontianak,45
489,Songkhla,94
535,Tianjin,23
188,Guadalajara,60
533,Tel Aviv-Jaffa,48
29,Apeldoorn,67
169,Firozabad,44
274,Kolpino,80
558,Usolje-Sibirskoje,80
137,Daugavpils,54
440,Sagamihara,50
11,Akron,103
134,Dadu,72
476,Shubra al-Khayma,29
207,Hohhot,23
549,Tychy,76
305,Lima,74
568,Vijayawada,44
48,Baku,10
570,Vilnius,56
532,Tegal,45
320,Maikop,80
547,Tsuyama,50
40,Atlixco,60
411,Ponce,77
50,Balikesir,97
494,Southampton,102
587,Yinchuan,23
351,Naçala-Porto,63
5,Adana,97
526,Tanshui,92
288,La Paz,60
490,Sorocaba,15
225,Ivanovo,80
83,Blumenau,15
185,Grand Prairie,103
74,Bhilwara,44
354,Nagaon,44
237,Jedda,82
278,Korolev,80
181,Gijón,87
31,Arak,46
291,Laiwu,23
539,Tonghae,86
552,Ueda,50
223,Ipoh,59
319,Mahajanga,57
460,Santiago de los Caballeros,27
3,Abu Dhabi,101
221,Imus,75
297,Le Mans,34
