film_id,attore_id,nome,cognome
731,67,JESSICA,BAILEY
669,129,DARYL,CRAWFORD
606,105,SIDNEY,CROWE
708,147,FAY,WINSLET
673,23,SANDRA,KILMER
344,12,KARL,BERRY
253,190,AUDREY,BAILEY
52,138,LUCILLE,DEE
894,106,GROUCHO,DUNST
887,115,HARRISON,BALE
370,126,FRANCES,TOMEI
647,150,JAYNE,NOLTE
596,175,WILLIAM,HACKMAN
69,30,SANDRA,PECK
425,114,MORGAN,MCDORMAND
772,141,CATE,HARRIS
291,144,ANGELA,WITHERSPOON
32,183,RUSSELL,CLOSE
259,104,PENELOPE,CRONYN
623,72,SEAN,WILLIAMS
849,141,CATE,HARRIS
5,103,MATTHEW,LEIGH
579,81,SCARLETT,DAMON
815,188,ROCK,DUKAKIS
623,86,GREG,CHAPLIN
101,16,FRED,COSTNER
339,143,RIVER,DEAN
849,171,OLYMPIA,PFEIFFER
177,158,VIVIEN,BASINGER
737,111,CAMERON,ZELLWEGER
793,28,WOODY,HOFFMAN
520,86,GREG,CHAPLIN
564,26,RIP,CRAWFORD
407,45,REESE,KILMER
754,2,NICK,WAHLBERG
369,83,BEN,WILLIS
776,55,FAY,KILMER
861,54,PENELOPE,PINKETT
717,120,PENELOPE,MONROE
316,117,RENEE,TRACY
74,173,ALAN,DREYFUSS
426,190,AUDREY,BAILEY
548,107,GINA,DEGENERES
289,101,SUSAN,DAVIS
942,103,MATTHEW,LEIGH
457,62,JAYNE,NEESON
989,151,GEOFFREY,HESTON
181,139,EWAN,GOODING
790,47,JULIA,BARRYMORE
890,175,WILLIAM,HACKMAN
980,10,CHRISTIAN,GABLE
763,177,GENE,MCKELLEN
983,10,CHRISTIAN,GABLE
845,102,WALTER,TORN
469,126,FRANCES,TOMEI
66,45,REESE,KILMER
1,188,ROCK,DUKAKIS
598,44,NICK,STALLONE
84,44,NICK,STALLONE
694,10,CHRISTIAN,GABLE
905,107,GINA,DEGENERES
661,145,KIM,ALLEN
280,64,RAY,JOHANSSON
105,29,ALEC,WAYNE
39,191,GREGORY,GOODING
905,135,RITA,REYNOLDS
486,86,GREG,CHAPLIN
658,151,GEOFFREY,HESTON
859,142,JADA,RYDER
653,116,DAN,STREEP
239,143,RIVER,DEAN
574,184,HUMPHREY,GARLAND
353,38,TOM,MCKELLEN
990,182,DEBBIE,AKROYD
511,101,SUSAN,DAVIS
216,199,JULIA,FAWCETT
966,10,CHRISTIAN,GABLE
85,60,HENRY,BERRY
127,187,RENEE,BALL
998,44,NICK,STALLONE
893,105,SIDNEY,CROWE
392,195,JAYNE,SILVERSTONE
392,63,CAMERON,WRAY
410,89,CHARLIZE,DENCH
920,129,DARYL,CRAWFORD
359,111,CAMERON,ZELLWEGER
963,78,GROUCHO,SINATRA
434,163,CHRISTOPHER,WEST
835,105,SIDNEY,CROWE
575,142,JADA,RYDER
938,118,CUBA,ALLEN
938,40,JOHNNY,CAGE
280,17,HELEN,VOIGHT
689,39,GOLDIE,BRODY
802,102,WALTER,TORN
726,67,JESSICA,BAILEY
841,5,JOHNNY,LOLLOBRIGIDA
991,92,KIRSTEN,AKROYD
154,17,HELEN,VOIGHT
938,129,DARYL,CRAWFORD
777,83,BEN,WILLIS
320,42,TOM,MIRANDA
336,116,DAN,STREEP
72,98,CHRIS,BRIDGES
416,130,GRETA,KEITEL
935,76,ANGELINA,ASTAIRE
499,36,BURT,DUKAKIS
839,38,TOM,MCKELLEN
187,14,VIVIEN,BERGEN
769,66,MARY,TANDY
306,50,NATALIE,HOPKINS
529,84,JAMES,PITT
738,195,JAYNE,SILVERSTONE
561,105,SIDNEY,CROWE
426,166,NICK,DEGENERES
105,123,JULIANNE,DENCH
85,27,JULIA,MCQUEEN
63,150,JAYNE,NOLTE
964,10,CHRISTIAN,GABLE
910,129,DARYL,CRAWFORD
758,26,RIP,CRAWFORD
217,157,GRETA,MALDEN
354,149,RUSSELL,TEMPLE
336,128,CATE,MCQUEEN
731,46,PARKER,GOLDBERG
466,70,MICHELLE,MCCONAUGHEY
753,109,SYLVESTER,DERN
604,157,GRETA,MALDEN
61,166,NICK,DEGENERES
249,137,MORGAN,WILLIAMS
458,107,GINA,DEGENERES
369,22,ELVIS,MARX
593,156,FAY,WOOD
303,90,SEAN,GUINESS
951,97,MEG,HAWKE
546,42,TOM,MIRANDA
873,17,HELEN,VOIGHT
616,175,WILLIAM,HACKMAN
784,20,LUCILLE,TRACY
297,156,FAY,WOOD
146,22,ELVIS,MARX
508,75,BURT,POSEY
293,39,GOLDIE,BRODY
118,11,ZERO,CAGE
298,56,DAN,HARRIS
189,106,GROUCHO,DUNST
617,101,SUSAN,DAVIS
25,167,LAURENCE,BULLOCK
572,37,VAL,BOLGER
73,77,CARY,MCCONAUGHEY
482,151,GEOFFREY,HESTON
371,65,ANGELA,HUDSON
784,41,JODIE,DEGENERES
403,55,FAY,KILMER
379,108,WARREN,NOLTE
909,100,SPENCER,DEPP
