pagamento_id,cliente_id,personale_id,noleggio_id,ammontare,data_pagamento
4318,158,2,13854,2.99,2005-08-20 14:48:42
10945,405,2,1953,5.99,2005-06-17 08:34:57
15073,563,1,758,4.99,2005-05-29 10:31:56
3726,138,1,5378,0.99,2005-07-09 19:05:56
155,6,1,5553,0.99,2005-07-10 03:03:35
9193,340,1,4742,0.99,2005-07-08 13:35:23
9417,348,2,8682,4.99,2005-07-29 16:15:26
12486,462,1,8290,3.99,2005-07-29 02:24:08
12303,455,2,14583,4.99,2005-08-21 17:11:47
13987,519,2,15347,2.99,2005-08-22 21:12:19
3679,136,1,14437,2.99,2005-08-21 11:48:32
5464,201,2,13671,3.99,2005-08-20 08:27:03
2167,80,2,2805,8.99,2005-06-19 19:29:17
11352,420,1,2698,0.99,2005-06-19 13:29:11
1839,67,2,13437,4.99,2005-08-19 23:37:52
14005,520,1,10072,0.99,2005-07-31 19:50:37
6654,246,1,124,6.99,2005-05-25 20:46:11
5748,211,2,14812,1.99,2005-08-22 01:10:32
4495,166,2,4389,6.99,2005-07-07 20:58:58
14392,534,2,12798,4.99,2005-08-19 00:24:33
7624,281,1,14196,1.99,2005-08-21 03:40:40
3954,146,1,2242,3.99,2005-06-18 04:32:28
13416,498,1,4311,4.99,2005-07-07 17:31:14
3659,135,1,11704,7.99,2005-08-17 07:21:22
13623,505,1,14802,2.99,2005-08-22 00:48:23
10749,397,2,6266,2.99,2005-07-11 15:45:39
5061,186,1,12348,5.99,2005-08-18 07:21:47
1847,68,2,2633,2.99,2005-06-19 08:53:10
3302,122,1,8772,5.99,2005-07-29 19:55:25
4815,177,1,11195,0.99,2005-08-02 11:42:23
7999,295,2,8087,0.99,2005-07-28 18:21:16
2460,90,1,11516,0.99,2005-08-16 23:54:47
11581,429,2,844,4.99,2005-05-30 00:58:20
12822,474,2,4886,4.99,2005-07-08 19:53:22
13869,515,2,4111,6.99,2005-07-07 06:47:56
14564,541,1,10306,5.99,2005-08-01 04:19:18
6107,226,1,15901,4.99,2005-08-23 17:19:17
5025,185,1,3325,4.99,2005-06-21 08:51:44
12350,457,1,13088,0.99,2005-08-19 10:36:11
11270,417,1,267,4.99,2005-05-26 16:16:21
1429,52,2,3196,4.99,2005-06-21 00:02:28
