assay_id,cell_id,assay_category,tissue_id,confidence_score,assay_tissue,assay_test_type,chembl_id,src_assay_id,curated_by,assay_type,variant_id,src_id,assay_subcellular_fraction,relationship_type,description,assay_strain,assay_cell_type,tid,bao_format
1,,,,8,,,CHEMBL615117,,Autocuration,B,,1,,H,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,,12052,BAO_0000019
2,,,,0,,,CHEMBL615118,,Autocuration,F,,1,,U,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,,22226,BAO_0000219
3,,,,0,,,CHEMBL615119,,Autocuration,B,,1,,U,,,,22226,BAO_0000019
4,,,,4,,,CHEMBL615120,,Autocuration,B,,1,,H,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,,104729,BAO_0000249
5,163.0,,,1,,,CHEMBL615121,,Intermediate,F,,1,,N,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,143B,80001,BAO_0000219
6,163.0,,,1,,,CHEMBL615122,,Intermediate,F,,1,,N,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,143B,80001,BAO_0000219
7,163.0,,,1,,,CHEMBL615123,,Intermediate,F,,1,,N,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,143B,80001,BAO_0000219
8,163.0,,,1,,,CHEMBL615124,,Expert,F,,1,,N,In vitro cell cytotoxicity was determined against 143B cell line,,143B,80001,BAO_0000219
9,163.0,,,1,,,CHEMBL615125,,Intermediate,F,,1,,N,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,143B,80001,BAO_0000219
10,163.0,,,1,,,CHEMBL615126,,Intermediate,F,,1,,N,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,143B,80001,BAO_0000219
11,163.0,,,1,,,CHEMBL615127,,Intermediate,F,,1,,N,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,143B,80001,BAO_0000219
12,163.0,,,1,,,CHEMBL615128,,Expert,F,,1,,N,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,143B,80001,BAO_0000219
13,,,,1,,,CHEMBL857900,,Intermediate,F,,1,,N,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,50185,BAO_0000218
14,,,,1,,,CHEMBL615129,,Intermediate,F,,1,,N,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,50185,BAO_0000218
15,,,,1,,,CHEMBL615130,,Intermediate,F,,1,,N,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,50185,BAO_0000218
16,,,,1,,,CHEMBL615131,,Intermediate,F,,1,,N,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,50185,BAO_0000218
