assays_assay_id,assays_curated_by,assays_assay_test_type,assays_assay_strain,assays_assay_type,assays_relationship_type,assays_tid,assays_confidence_score,assays_src_id,assays_src_assay_id,assays_chembl_id,assays_cell_id,assays_bao_format,assays_tissue_id,assays_variant_id
7524,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618647,,BAO_0000218,2113.0,
7525,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618648,,BAO_0000218,2113.0,
7526,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618649,,BAO_0000218,2113.0,
7527,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618650,,BAO_0000218,2107.0,
7528,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618651,,BAO_0000218,2107.0,
7529,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL876497,,BAO_0000218,2107.0,
7530,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618652,,BAO_0000218,2048.0,
7531,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618653,,BAO_0000218,2048.0,
7532,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618654,,BAO_0000218,2048.0,
7533,Intermediate,,,A,N,50597,1,1,,CHEMBL618655,,BAO_0000218,,
7534,Intermediate,,,A,N,50597,1,1,,CHEMBL618656,,BAO_0000218,,
7535,Intermediate,,,P,U,22229,0,1,,CHEMBL618657,,BAO_0000100,,
7536,Intermediate,,,A,N,50597,1,1,,CHEMBL618658,,BAO_0000218,,
7537,Intermediate,,,A,N,50597,1,1,,CHEMBL618659,,BAO_0000218,,
7538,Intermediate,,,A,N,50597,1,1,,CHEMBL618660,,BAO_0000218,,
7539,Intermediate,,,A,N,50597,1,1,,CHEMBL618661,,BAO_0000218,,
7540,Intermediate,,,A,N,50597,1,1,,CHEMBL873807,,BAO_0000218,,
7541,Intermediate,,,A,N,50597,1,1,,CHEMBL618662,,BAO_0000218,,
7542,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618663,,BAO_0000218,,
7543,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618664,,BAO_0000218,,
7544,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618665,,BAO_0000218,,
7545,Intermediate,,,A,N,50597,1,1,,CHEMBL876498,,BAO_0000218,,
7546,Intermediate,,,A,N,50597,1,1,,CHEMBL618666,,BAO_0000218,,
7547,Intermediate,,,A,N,50597,1,1,,CHEMBL620440,,BAO_0000218,,
7548,Intermediate,,,A,N,50597,1,1,,CHEMBL620441,,BAO_0000218,,
7549,Intermediate,,,A,N,50597,1,1,,CHEMBL620442,,BAO_0000218,,
7550,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620443,,BAO_0000218,,
7551,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620444,,BAO_0000218,,
7552,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620445,,BAO_0000218,,
7553,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL620446,,BAO_0000218,,
7554,Intermediate,,,A,N,50597,1,1,,CHEMBL620447,,BAO_0000218,1969.0,
7555,Intermediate,,,A,N,50597,1,1,,CHEMBL621129,,BAO_0000218,1969.0,
7556,Intermediate,,,A,N,50597,1,1,,CHEMBL621130,,BAO_0000218,1969.0,
7557,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL873808,,BAO_0000218,,
7558,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL876598,,BAO_0000218,,
7559,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621131,,BAO_0000218,,
7560,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621132,,BAO_0000218,,
7561,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621133,,BAO_0000218,,
7562,Expert,In vivo,,A,N,50597,1,1,,CHEMBL621312,,BAO_0000218,,
7563,Intermediate,,,A,N,50597,1,1,,CHEMBL621313,,BAO_0000218,,
7564,Intermediate,,,A,N,50597,1,1,,CHEMBL621314,,BAO_0000218,178.0,
7565,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621315,,BAO_0000218,,
7566,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621316,,BAO_0000218,,
7567,Intermediate,,,A,N,50597,1,1,,CHEMBL621317,,BAO_0000218,,
7568,Intermediate,,,A,N,50597,1,1,,CHEMBL621318,,BAO_0000218,,
7569,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621319,,BAO_0000218,,
7570,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621377,,BAO_0000218,,
7571,Intermediate,,,A,N,50597,1,1,,CHEMBL621378,,BAO_0000218,,
7572,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL876599,,BAO_0000218,,
7573,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL621379,,BAO_0000218,,
7574,Intermediate,,,A,N,50597,1,1,,CHEMBL621380,,BAO_0000218,1969.0,
7575,Intermediate,,,A,N,50597,1,1,,CHEMBL621381,,BAO_0000218,1969.0,
7576,Intermediate,,,A,N,50597,1,1,,CHEMBL618515,,BAO_0000218,,
7577,Intermediate,In vivo,,A,N,50597,1,1,,CHEMBL618516,,BAO_0000218,,
