fsclr,rgnstnsb-clss,fstcprcnt,sctrnm,sctrprcnt,thsss(mrkr),prgrmmngprcss(nw),prjctnmbr,brnchnm,sctnd,rgnstnd,mntspnt,rgnlprgrm(mrkr),rtcprcnt,cfl(mrkr),cntnntd,ndgnssss(mrkr),rgnstnnm,gndrqlt(mrkr),dvsnd,chldrnsss(mrkr),fndcntrd,cntrrgnprcnt,ntdmnt(prjct-lvlbdgt),pbtp,trddvlpmnt(mrkr),bdvrst(mrkr),rbnsss(mrkr),dsbltsss(mrkr),ctstlfrdvlpmnt(mrkr),knwldgfrdvlpmnt(mrkr),rgnstntp,rgnstnclss,cntnntnm,prjctbrwsrcntrd,cntrrgnd,cntrrgnnm,sctrd
2009/2010,UNITED NATIONS,0.0,Multilateral trade negotiations,0.14,0,Uncoded: Pre-APP,M013170001,MFM Global Issues and Development,S5602,1005967,75768.0,0,0.0,0,3,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,D5600,0,5291,0.22,2460000.0,Not PBA,0,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,Asia,X3,X3,Asia MC,33140
2009/2010,UNITED NATIONS,0.0,Sectors not specified,0.505,0,Uncoded: Pre-APP,M013170001,MFM Global Issues and Development,S5602,1005967,273306.0,0,0.0,0,3,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,D5600,0,5291,0.22,2460000.0,Not PBA,0,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,Asia,X3,X3,Asia MC,99810
2009/2010,UNITED NATIONS,0.0,Medical services,0.268,0,Uncoded: Pre-APP,M013170001,MFM Global Issues and Development,S5602,1005967,210969.6,0,0.0,0,5,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,D5600,0,5291,0.32,2460000.0,Not PBA,0,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,12191
2009/2010,UNITED NATIONS,0.0,Water resources conservation (including data collection),0.047,0,Uncoded: Pre-APP,M013170001,MFM Global Issues and Development,S5602,1005967,36998.4,0,0.0,0,5,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,D5600,0,5291,0.32,2460000.0,Not PBA,0,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,14015
2009/2010,UNITED NATIONS,0.0,Nuclear energy electric power plants,0.04,0,Uncoded: Pre-APP,M013170001,MFM Global Issues and Development,S5602,1005967,31488.0,0,0.0,0,5,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,D5600,0,5291,0.32,2460000.0,Not PBA,0,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,23510
2009/2010,UNITED NATIONS,0.0,Multilateral trade negotiations,0.14,0,Uncoded: Pre-APP,M013170001,MFM Global Issues and Development,S5602,1005967,110208.0,0,0.0,0,5,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,D5600,0,5291,0.32,2460000.0,Not PBA,0,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,33140
2009/2010,UNITED NATIONS,0.0,Sectors not specified,0.505,0,Uncoded: Pre-APP,M013170001,MFM Global Issues and Development,S5602,1005967,397536.0,0,0.0,0,5,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,0,D5600,0,5291,0.32,2460000.0,Not PBA,0,0,0,0,1,1,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,99810
2009/2010,REGIONAL ORGANIZATION,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013171001,MFM Global Issues and Development,S5320,1001300,300000.0,0,0.0,0,1,0,PAHO - Pan American Health Organization,0,D5301,0,5303,1.0,300000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,America,SV,SV,El Salvador,72010
2009/2010,INTERNATIONAL NGO,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013172001,MFM Global Issues and Development,S5330,1014663,1500000.0,0,0.0,0,2,0,ICRC Appeals via CRCS,1,D5301,0,5311,0.5,3000000.0,Not PBA,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,Africa,X1,X1,Africa MC,72010
2009/2010,INTERNATIONAL NGO,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013172001,MFM Global Issues and Development,S5330,1014663,450000.0,0,0.0,0,1,0,ICRC Appeals via CRCS,1,D5301,0,5311,0.15,3000000.0,Not PBA,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,America,X2,X2,Americas MC,72010
2009/2010,INTERNATIONAL NGO,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013172001,MFM Global Issues and Development,S5330,1014663,900000.0,0,0.0,0,3,0,ICRC Appeals via CRCS,1,D5301,0,5311,0.3,3000000.0,Not PBA,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,Asia,X3,X3,Asia MC,72010
2009/2010,INTERNATIONAL NGO,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013172001,MFM Global Issues and Development,S5330,1014663,150000.0,0,0.0,0,5,0,ICRC Appeals via CRCS,1,D5301,0,5311,0.05,3000000.0,Not PBA,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,Europe,X4,X4,Europe MC,72010
2009/2010,INTERNATIONAL NGO,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013173001,MFM Global Issues and Development,S5330,1014663,1500000.0,0,0.0,0,2,0,ICRC Appeals via CRCS,1,D5301,0,5311,0.5,3000000.0,Not PBA,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,Africa,X1,X1,Africa MC,72010
2009/2010,INTERNATIONAL NGO,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013173001,MFM Global Issues and Development,S5330,1014663,450000.0,0,0.0,0,1,0,ICRC Appeals via CRCS,1,D5301,0,5311,0.15,3000000.0,Not PBA,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,America,X2,X2,Americas MC,72010
2009/2010,INTERNATIONAL NGO,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013173001,MFM Global Issues and Development,S5330,1014663,900000.0,0,0.0,0,3,0,ICRC Appeals via CRCS,1,D5301,0,5311,0.3,3000000.0,Not PBA,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,Asia,X3,X3,Asia MC,72010
2009/2010,INTERNATIONAL NGO,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013173001,MFM Global Issues and Development,S5330,1014663,150000.0,0,0.0,0,5,0,ICRC Appeals via CRCS,1,D5301,0,5311,0.05,3000000.0,Not PBA,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,Europe,X4,X4,Europe MC,72010
2009/2010,NGO,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013174001,MFM Global Issues and Development,S5320,1015332,500000.0,0,0.0,0,3,0,Mines Advisory Group,0,D5301,0,5303,1.0,500000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Civil Society,Asia,LK,LK,Sri Lanka,72010
2009/2010,NGO,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013175001,MFM Global Issues and Development,S5320,1015331,500000.0,0,0.0,0,3,0,The Halo Trust,0,D5301,0,5303,1.0,500000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Civil Society,Asia,LK,LK,Sri Lanka,72010
2009/2010,NGO,0.0,Relief co-ordination; protection and support services,1.0,0,Uncoded: Pre-APP,M013176001,MFM Global Issues and Development,S5330,1002035,150000.0,0,0.0,0,2,0,International Crisis Group,0,D5301,0,5230,0.5,600000.0,Not PBA,0,0,0,0,0,1,Foreign Non-Profit Making,Civil Society,Africa,X1,X1,Africa MC,72050
2009/2010,NGO,0.0,Relief co-ordination; protection and support services,1.0,0,Uncoded: Pre-APP,M013176001,MFM Global Issues and Development,S5330,1002035,30000.0,0,0.0,0,1,0,International Crisis Group,0,D5301,0,5230,0.1,600000.0,Not PBA,0,0,0,0,0,1,Foreign Non-Profit Making,Civil Society,America,X2,X2,Americas MC,72050
2009/2010,NGO,0.0,Relief co-ordination; protection and support services,1.0,0,Uncoded: Pre-APP,M013176001,MFM Global Issues and Development,S5330,1002035,90000.0,0,0.0,0,3,0,International Crisis Group,0,D5301,0,5230,0.3,600000.0,Not PBA,0,0,0,0,0,1,Foreign Non-Profit Making,Civil Society,Asia,X3,X3,Asia MC,72050
2009/2010,NGO,0.0,Relief co-ordination; protection and support services,1.0,0,Uncoded: Pre-APP,M013176001,MFM Global Issues and Development,S5330,1002035,30000.0,0,0.0,0,5,0,International Crisis Group,0,D5301,0,5230,0.1,600000.0,Not PBA,0,0,0,0,0,1,Foreign Non-Profit Making,Civil Society,Europe,X4,X4,Europe MC,72050
2009/2010,UNITED NATIONS,0.0,Emergency food aid,1.0,0,Uncoded: Pre-APP,M013177001,MFM Global Issues and Development,S5320,1001721,500000.0,0,0.0,0,3,0,WFP - World Food Programme,0,D5301,0,5309,1.0,1800000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,YE,YE,Yemen,72040
2009/2010,UNITED NATIONS,0.0,Emergency food aid,1.0,0,Uncoded: Pre-APP,M013178001,MFM Global Issues and Development,S5320,1001721,1500000.0,0,0.0,0,1,0,WFP - World Food Programme,0,D5301,0,5309,1.0,3000000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,America,CO,CO,Colombia,72040
2009/2010,UNITED NATIONS,0.0,Emergency food aid,1.0,0,Uncoded: Pre-APP,M013180001,MFM Global Issues and Development,S5320,1001721,6500000.0,0,0.0,0,2,0,WFP - World Food Programme,1,D5301,0,5309,1.0,6500000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,TD,TD,Chad,72040
2009/2010,UNITED NATIONS,0.0,Emergency food aid,1.0,0,Uncoded: Pre-APP,M013181001,MFM Global Issues and Development,S5320,1001721,3950000.0,0,0.0,0,2,0,WFP - World Food Programme,0,D5301,0,5309,1.0,22450000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,SD,SD,Sudan,72040
2009/2010,UNITED NATIONS,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013182001,MFM Global Issues and Development,S5330,1001730,6300000.0,0,0.0,0,2,0,UNHCR - United Nations High Commissioner for Refugees,1,D5301,0,5311,0.45,14000000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,X1,X1,Africa MC,72010
2009/2010,UNITED NATIONS,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013182001,MFM Global Issues and Development,S5330,1001730,700000.0,0,0.0,0,1,0,UNHCR - United Nations High Commissioner for Refugees,1,D5301,0,5311,0.05,14000000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,America,X2,X2,Americas MC,72010
2009/2010,UNITED NATIONS,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013182001,MFM Global Issues and Development,S5330,1001730,6300000.0,0,0.0,0,3,0,UNHCR - United Nations High Commissioner for Refugees,1,D5301,0,5311,0.45,14000000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,X3,X3,Asia MC,72010
2009/2010,UNITED NATIONS,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013182001,MFM Global Issues and Development,S5330,1001730,700000.0,0,0.0,0,5,0,UNHCR - United Nations High Commissioner for Refugees,1,D5301,0,5311,0.05,14000000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,72010
2009/2010,INTERNATIONAL NGO,0.0,Material relief assistance and services,1.0,0,Uncoded: Pre-APP,M013183001,MFM Global Issues and Development,S5320,1014663,500000.0,0,0.0,0,3,0,ICRC Appeals via CRCS,0,D5301,0,5303,1.0,500000.0,Not PBA,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,Asia,X3,X3,Asia MC,72010
2009/2010,UNITED NATIONS,0.0,Relief co-ordination; protection and support services,1.0,0,Uncoded: Pre-APP,M013184001,MFM Global Issues and Development,S5320,1003586,1350000.0,0,0.0,0,2,0,OCHA - Office for the Coordination of Humanitarian Affairs,0,D5301,0,5303,0.5,2700000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,X1,X1,Africa MC,72050
2009/2010,UNITED NATIONS,0.0,Relief co-ordination; protection and support services,1.0,0,Uncoded: Pre-APP,M013184001,MFM Global Issues and Development,S5320,1003586,405000.0,0,0.0,0,1,0,OCHA - Office for the Coordination of Humanitarian Affairs,0,D5301,0,5303,0.15,2700000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,America,X2,X2,Americas MC,72050
2009/2010,UNITED NATIONS,0.0,Relief co-ordination; protection and support services,1.0,0,Uncoded: Pre-APP,M013184001,MFM Global Issues and Development,S5320,1003586,810000.0,0,0.0,0,3,0,OCHA - Office for the Coordination of Humanitarian Affairs,0,D5301,0,5303,0.3,2700000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,X3,X3,Asia MC,72050
2009/2010,UNITED NATIONS,0.0,Relief co-ordination; protection and support services,1.0,0,Uncoded: Pre-APP,M013184001,MFM Global Issues and Development,S5320,1003586,135000.0,0,0.0,0,5,0,OCHA - Office for the Coordination of Humanitarian Affairs,0,D5301,0,5303,0.05,2700000.0,Not PBA,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,72050
