assays_assay_id,assays_assay_organism,assays_confidence_score,assays_assay_type,assays_assay_cell_type,assays_src_id,assays_description,assays_tid,assays_assay_tax_id,assays_assay_subcellular_fraction,assays_variant_id,assays_chembl_id,assays_doc_id,assays_tissue_id,assays_cell_id,assays_src_assay_id,assays_assay_tissue,assays_relationship_type,assays_curated_by,assays_bao_format
1,,8,B,,1,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,12052,,,,CHEMBL615117,11087,,,,,H,Autocuration,BAO_0000019
2,,0,F,,1,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,22226,,,,CHEMBL615118,684,,,,,U,Autocuration,BAO_0000219
3,,0,B,,1,,22226,,,,CHEMBL615119,15453,,,,,U,Autocuration,BAO_0000019
4,Bos taurus,4,B,,1,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,104729,9913.0,,,CHEMBL615120,17841,,,,,H,Autocuration,BAO_0000249
5,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,9606.0,,,CHEMBL615121,17430,,163.0,,,N,Intermediate,BAO_0000219
6,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),80001,9606.0,,,CHEMBL615122,17430,,163.0,,,N,Intermediate,BAO_0000219
7,Mus musculus,1,F,143B,1,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,80001,10090.0,,,CHEMBL615123,13799,,163.0,,,N,Intermediate,BAO_0000219
8,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity was determined against 143B cell line,80001,9606.0,,,CHEMBL615124,17774,,163.0,,,N,Expert,BAO_0000219
9,Homo sapiens,1,F,143B,1,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,80001,9606.0,,,CHEMBL615125,3801,,163.0,,,N,Intermediate,BAO_0000219
10,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,9606.0,,,CHEMBL615126,17430,,163.0,,,N,Intermediate,BAO_0000219
11,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,80001,9606.0,,,CHEMBL615127,17430,,163.0,,,N,Intermediate,BAO_0000219
12,Homo sapiens,1,F,143B,1,In vitro cell cytotoxicity was determined against 143B-LTK cell line,80001,9606.0,,,CHEMBL615128,17774,,163.0,,,N,Expert,BAO_0000219
13,Staphylococcus aureus,1,F,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,1280.0,,,CHEMBL857900,11324,,,,,N,Intermediate,BAO_0000218
14,Staphylococcus aureus,1,F,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,1280.0,,,CHEMBL615129,11324,,,,,N,Intermediate,BAO_0000218
15,Staphylococcus aureus,1,F,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,1280.0,,,CHEMBL615130,11324,,,,,N,Intermediate,BAO_0000218
16,Staphylococcus aureus,1,F,,1,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",50185,1280.0,,,CHEMBL615131,11324,,,,,N,Intermediate,BAO_0000218
17,Rattus norvegicus,9,A,,1,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,100122,10116.0,,,CHEMBL884521,11347,,,,,D,Expert,BAO_0000357
18,,8,B,,1,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),12054,,,,CHEMBL615132,16474,,,,,H,Autocuration,BAO_0000357
19,,8,B,,1,Inhibition of partially purified 15-lipoxygenase from human leukocytes,12054,,,,CHEMBL615133,10091,,,,,H,Autocuration,BAO_0000019
20,,8,B,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),12054,,,,CHEMBL615134,16474,,,,,H,Autocuration,BAO_0000357
21,,8,B,,1,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),12054,,,,CHEMBL615135,16474,,,,,H,Autocuration,BAO_0000357
22,,8,B,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),12054,,,,CHEMBL615136,16474,,,,,H,Autocuration,BAO_0000357
23,,8,B,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,12054,,,,CHEMBL615137,16474,,,,,H,Autocuration,BAO_0000357
24,,8,B,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,12054,,,,CHEMBL615138,16474,,,,,H,Autocuration,BAO_0000357
25,,0,B,,1,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",22226,,,,CHEMBL836324,14352,,,,,U,Autocuration,BAO_0000219
26,Oryctolagus cuniculus,8,B,,1,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,12054,9986.0,,,CHEMBL615139,5646,,,,,H,Autocuration,BAO_0000357
27,Oryctolagus cuniculus,8,B,,1,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),12054,9986.0,,,CHEMBL615140,5646,,,,,H,Autocuration,BAO_0000357
28,,8,B,,1,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,12426,,,,CHEMBL615141,10997,,,,,H,Autocuration,BAO_0000219
29,soya bean,8,B,,1,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,12054,3847.0,,,CHEMBL615142,6309,,,,,H,Autocuration,BAO_0000357
30,Glycine max,8,B,,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated,12054,3847.0,,,CHEMBL615143,167,,,,,H,Autocuration,BAO_0000357
31,Glycine max,8,B,,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,12054,3847.0,,,CHEMBL615144,167,,,,,H,Autocuration,BAO_0000357
32,Glycine max,8,B,,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,12054,3847.0,,,CHEMBL872867,11087,,,,,H,Autocuration,BAO_0000357
33,Glycine max,8,B,,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,12054,3847.0,,,CHEMBL615145,11087,,,,,H,Autocuration,BAO_0000357
34,Glycine max,8,B,,1,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,12054,3847.0,,,CHEMBL615146,13622,,,,,H,Autocuration,BAO_0000357
35,Glycine max,8,B,,1,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,12054,3847.0,,,CHEMBL615147,13622,,,,,H,Autocuration,BAO_0000357
