lingua_originale_id,costo_sostituzione,descrizione,durata,voto,titolo,film_id,durata_noleggio,data_rilascio,tariffa_noleggio,lingua
,11.99,A Emotional Story of a Squirrel And a Crocodile who must Succumb a Husband in The Sahara Desert,99,PG,SABRINA MIDNIGHT,755,5,2006,4.99,English
,21.99,A Unbelieveable Story of a Teacher And a Boat who must Confront a Moose in A Baloon,71,PG-13,KNOCK WARLOCK,502,4,2006,2.99,English
,29.99,A Emotional Yarn of a Composer And a Man who must Escape a Butler in The Gulf of Mexico,82,PG-13,REIGN GENTLEMEN,723,3,2006,2.99,English
,14.99,A Awe-Inspiring Character Study of a Boat And a Boy who must Kill a Pastry Chef in The Sahara Desert,103,G,FIREHOUSE VIETNAM,318,7,2006,0.99,English
,18.99,A Brilliant Reflection of a Feminist And a Dog who must Fight a Boy in A Baloon Factory,104,R,TITANIC BOONDOCK,892,3,2006,4.99,English
,16.99,A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans,124,R,CLONES PINOCCHIO,158,6,2006,2.99,English
,19.99,A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,61,NC-17,CASSIDY WYOMING,125,5,2006,2.99,English
,27.99,A Fast-Paced Reflection of a Explorer And a Butler who must Battle a Madman in An Abandoned Amusement Park,112,R,CRUSADE HONEY,197,4,2006,2.99,English
,29.99,A Fateful Character Study of a Boat And a Cat who must Find a Database Administrator in A Jet Boat,153,PG-13,RIGHT CRANES,731,7,2006,4.99,English
,28.99,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,175,G,BEAUTY GREASE,61,5,2006,4.99,English
,10.99,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,85,G,AMISTAD MIDSUMMER,22,6,2006,2.99,English
,13.99,A Beautiful Panorama of a Pastry Chef And a A Shark who must Battle a Pioneer in Soviet Georgia,51,NC-17,HALL CASSIDY,392,5,2006,4.99,English
,21.99,A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia,127,R,SUBMARINE BED,858,5,2006,4.99,English
,16.99,A Taut Yarn of a Hunter And a Astronaut who must Conquer a Database Administrator in The Sahara Desert,137,PG-13,PHILADELPHIA WIFE,676,7,2006,4.99,English
,21.99,A Taut Character Study of a Boy And a Robot who must Redeem a Mad Scientist in Ancient India,74,NC-17,LUKE MUMMY,541,5,2006,2.99,English
,19.99,A Touching Documentary of a Dentist And a Sumo Wrestler who must Overcome a Boy in The Gulf of Mexico,93,G,PANKY SUBMARINE,654,4,2006,4.99,English
,20.99,A Beautiful Tale of a Astronaut And a Mad Cow who must Challenge a Cat in A Baloon Factory,83,PG,MOON BUNCH,595,7,2006,0.99,English
,26.99,A Thrilling Character Study of a Robot And a Squirrel who must Face a Dog in Ancient India,71,R,TRAIN BUNCH,904,3,2006,4.99,English
,29.99,A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat,93,G,HILLS NEIGHBORS,417,5,2006,0.99,English
,18.99,A Unbelieveable Documentary of a Teacher And a Monkey who must Defeat a Explorer in A U-Boat,105,PG,WON DARES,983,7,2006,2.99,English
,17.99,A Intrepid Tale of a Madman And a Astronaut who must Challenge a Hunter in A Monastery,157,PG-13,PAST SUICIDES,661,5,2006,4.99,English
