nome,attore_id,cognome,film_id
JULIA,27,MCQUEEN,880
KEVIN,25,BLOOM,179
WILLIAM,175,HACKMAN,978
MINNIE,85,ZELLWEGER,957
GRETA,157,MALDEN,874
BURT,36,DUKAKIS,283
MICHAEL,174,BENING,352
JESSICA,67,BAILEY,915
DEBBIE,182,AKROYD,590
JULIANNE,123,DENCH,429
SISSY,31,SOBIESKI,793
CAMERON,111,ZELLWEGER,669
PENELOPE,120,MONROE,231
KEVIN,25,BLOOM,606
CHRISTIAN,61,NEESON,703
SCARLETT,124,BENING,539
CHRIS,98,BRIDGES,782
REESE,45,KILMER,900
PENELOPE,104,CRONYN,892
KEVIN,25,BLOOM,538
RIP,68,WINSLET,296
JUDE,57,CRUISE,605
JULIA,47,BARRYMORE,944
SISSY,31,SOBIESKI,431
ANNE,49,CRONYN,282
SANDRA,30,PECK,262
GRETA,130,KEITEL,375
WHOOPI,140,HURT,373
MINNIE,153,KILMER,231
JAYNE,62,NEESON,398
RIVER,143,DEAN,576
WILL,168,WILSON,602
NATALIE,50,HOPKINS,795
SPENCER,87,PECK,421
CATE,141,HARRIS,752
JUDY,35,DEAN,615
CUBA,118,ALLEN,49
ALBERT,146,JOHANSSON,314
ROCK,188,DUKAKIS,662
JULIA,47,BARRYMORE,25
UMA,13,WOOD,144
ED,179,GUINESS,131
LIZA,121,BERGMAN,633
MINNIE,85,ZELLWEGER,72
MORGAN,114,MCDORMAND,757
BURT,75,POSEY,12
SCARLETT,81,DAMON,619
AUDREY,34,OLIVIER,43
CUBA,118,ALLEN,553
IAN,155,TANDY,966
ANGELINA,76,ASTAIRE,870
HENRY,60,BERRY,235
CHRISTOPHER,163,WEST,283
JAMES,84,PITT,996
SANDRA,23,KILMER,105
JUDE,57,CRUISE,717
WILL,168,WILSON,807
JULIA,27,MCQUEEN,637
CHRIS,98,BRIDGES,72
NATALIE,50,HOPKINS,303
NATALIE,50,HOPKINS,306
ELVIS,22,MARX,23
CUBA,15,OLIVIER,626
GOLDIE,39,BRODY,815
CHRISTIAN,10,GABLE,983
KENNETH,169,HOFFMAN,849
FAY,147,WINSLET,131
JAYNE,195,SILVERSTONE,534
CHRISTOPHER,163,WEST,785
MORGAN,137,WILLIAMS,745
NICK,166,DEGENERES,1000
HARRISON,115,BALE,686
LISA,178,MONROE,273
MERYL,154,GIBSON,440
DAN,56,HARRIS,457
RITA,135,REYNOLDS,905
MINNIE,85,ZELLWEGER,461
WOODY,28,HOFFMAN,953
CARMEN,52,HUNT,812
RALPH,80,CRUZ,622
PENELOPE,120,MONROE,715
JULIANNE,123,DENCH,576
NATALIE,50,HOPKINS,288
DAN,18,TORN,144
CAMERON,111,ZELLWEGER,61
MARY,198,KEITEL,406
CATE,128,MCQUEEN,119
FAY,156,WOOD,467
RALPH,80,CRUZ,475
JULIA,27,MCQUEEN,805
REESE,197,WEST,995
GROUCHO,78,SINATRA,689
REESE,45,KILMER,467
FRANCES,126,TOMEI,468
ALBERT,125,NOLTE,664
GREGORY,191,GOODING,84
MINNIE,153,KILMER,444
JULIA,47,BARRYMORE,576
VIVIEN,14,BERGEN,890
MARY,198,KEITEL,796
ALBERT,125,NOLTE,62
MORGAN,113,HOPKINS,322
LUCILLE,138,DEE,214
SEAN,90,GUINESS,663
MARY,198,KEITEL,464
WOODY,28,HOFFMAN,816
GREG,86,CHAPLIN,636
CHRISTIAN,58,AKROYD,755
ROCK,188,DUKAKIS,102
RENEE,117,TRACY,778
KIRSTEN,92,AKROYD,443
RICHARD,133,PENN,410
HARRISON,115,BALE,379
KEVIN,127,GARLAND,641
PENELOPE,54,PINKETT,292
JULIA,47,BARRYMORE,923
ED,179,GUINESS,463
BURT,75,POSEY,508
JAYNE,195,SILVERSTONE,141
WHOOPI,140,HURT,509
ALBERT,146,JOHANSSON,966
EWAN,139,GOODING,719
RIP,26,CRAWFORD,147
OPRAH,162,KILMER,121
LUCILLE,20,TRACY,165
ALEC,29,WAYNE,133
HARRISON,115,BALE,245
GRACE,7,MOSTEL,637
CUBA,15,OLIVIER,594
MICHAEL,185,BOLGER,665
JULIANNE,123,DENCH,223
MARY,198,KEITEL,303
ED,136,MANSFIELD,414
KARL,12,BERRY,728
ALBERT,125,NOLTE,395
GOLDIE,39,BRODY,476
NATALIE,50,HOPKINS,327
WARREN,119,JACKMAN,381
JODIE,41,DEGENERES,779
ROCK,188,DUKAKIS,773
BOB,19,FAWCETT,182
JULIANNE,123,DENCH,446
FRANCES,126,TOMEI,34
KENNETH,94,TORN,354
IAN,155,TANDY,220
DARYL,95,WAHLBERG,207
ANGELA,65,HUDSON,694
ANGELA,144,WITHERSPOON,473
KEVIN,25,BLOOM,914
RITA,135,REYNOLDS,88
BURT,36,DUKAKIS,600
JADA,142,RYDER,608
BOB,19,FAWCETT,771
DAN,56,HARRIS,474
HUMPHREY,184,GARLAND,574
JULIA,47,BARRYMORE,172
LUCILLE,138,DEE,8
ALAN,173,DREYFUSS,235
GENE,134,HOPKINS,386
GEOFFREY,151,HESTON,342
OLYMPIA,171,PFEIFFER,872
MICHELLE,70,MCCONAUGHEY,964
REESE,197,WEST,752
JEFF,180,SILVERSTONE,732
CHRISTIAN,61,NEESON,362
RIP,26,CRAWFORD,906
SIDNEY,105,CROWE,990
JAMES,84,PITT,529
HELEN,17,VOIGHT,478
SANDRA,30,PECK,87
MINNIE,85,ZELLWEGER,543
KENNETH,88,PESCI,620
