Fiscal year,FSTC percent,Section ID,Participatory development and good governance,CIDA business delivery model (old),CountryRegion ID,Organisation class,Sector ID,Enviromental sustainability (marker),Organisation name,CountryRegion name,Continent ID,Climate change adaptation (marker),Section name,Trade development (marker),Biodiversity (marker),Urban issues (marker),Children issues (marker),Youth issues (marker),Indigenous issues (marker),Disability issues (marker),ICT as a tool for development (marker),Knowledge for development (marker),Gender equality (marker),Organisation ID,Organisation type,Organisation sub-class,Continent name,Project Browser country ID,CountryRegion percent,Sector name,Sector percent,Amount spent
2009/2010,0.0,S5602,1,Core Funding,X3,Multilateral,33140,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Asia MC,3,0,MIO United Nations,0,0,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,UNITED NATIONS,Asia,X3,0.22,Multilateral trade negotiations,0.14,75768.0
2009/2010,0.0,S5602,1,Core Funding,X3,Multilateral,99810,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Asia MC,3,0,MIO United Nations,0,0,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,UNITED NATIONS,Asia,X3,0.22,Sectors not specified,0.505,273306.0
2009/2010,0.0,S5602,1,Core Funding,X4,Multilateral,12191,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Europe MC,5,0,MIO United Nations,0,0,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,UNITED NATIONS,Europe,X4,0.32,Medical services,0.268,210969.6
2009/2010,0.0,S5602,1,Core Funding,X4,Multilateral,14015,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Europe MC,5,0,MIO United Nations,0,0,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,UNITED NATIONS,Europe,X4,0.32,Water resources conservation (including data collection),0.047,36998.4
2009/2010,0.0,S5602,1,Core Funding,X4,Multilateral,23510,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Europe MC,5,0,MIO United Nations,0,0,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,UNITED NATIONS,Europe,X4,0.32,Nuclear energy electric power plants,0.04,31488.0
2009/2010,0.0,S5602,1,Core Funding,X4,Multilateral,33140,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Europe MC,5,0,MIO United Nations,0,0,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,UNITED NATIONS,Europe,X4,0.32,Multilateral trade negotiations,0.14,110208.0
2009/2010,0.0,S5602,1,Core Funding,X4,Multilateral,99810,1,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Europe MC,5,0,MIO United Nations,0,0,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,UNITED NATIONS,Europe,X4,0.32,Sectors not specified,0.505,397536.0
2009/2010,0.0,S5320,0,Responsive,SV,Multilateral,72010,0,PAHO - Pan American Health Organization,El Salvador,1,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,0,1001300,Foreign Non-Profit Making,REGIONAL ORGANIZATION,America,SV,1.0,Material relief assistance and services,1.0,300000.0
2009/2010,0.0,S5330,0,Core Funding,X1,Civil Society,72010,0,ICRC Appeals via CRCS,Africa MC,2,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,X1,0.5,Material relief assistance and services,1.0,1500000.0
2009/2010,0.0,S5330,0,Core Funding,X2,Civil Society,72010,0,ICRC Appeals via CRCS,Americas MC,1,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,INTERNATIONAL NGO,America,X2,0.15,Material relief assistance and services,1.0,450000.0
2009/2010,0.0,S5330,0,Core Funding,X3,Civil Society,72010,0,ICRC Appeals via CRCS,Asia MC,3,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,INTERNATIONAL NGO,Asia,X3,0.3,Material relief assistance and services,1.0,900000.0
2009/2010,0.0,S5330,0,Core Funding,X4,Civil Society,72010,0,ICRC Appeals via CRCS,Europe MC,5,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,INTERNATIONAL NGO,Europe,X4,0.05,Material relief assistance and services,1.0,150000.0
2009/2010,0.0,S5330,0,Core Funding,X1,Civil Society,72010,0,ICRC Appeals via CRCS,Africa MC,2,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,INTERNATIONAL NGO,Africa,X1,0.5,Material relief assistance and services,1.0,1500000.0
2009/2010,0.0,S5330,0,Core Funding,X2,Civil Society,72010,0,ICRC Appeals via CRCS,Americas MC,1,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,INTERNATIONAL NGO,America,X2,0.15,Material relief assistance and services,1.0,450000.0
2009/2010,0.0,S5330,0,Core Funding,X3,Civil Society,72010,0,ICRC Appeals via CRCS,Asia MC,3,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,INTERNATIONAL NGO,Asia,X3,0.3,Material relief assistance and services,1.0,900000.0
2009/2010,0.0,S5330,0,Core Funding,X4,Civil Society,72010,0,ICRC Appeals via CRCS,Europe MC,5,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,INTERNATIONAL NGO,Europe,X4,0.05,Material relief assistance and services,1.0,150000.0
2009/2010,0.0,S5320,0,Responsive,LK,Civil Society,72010,1,Mines Advisory Group,Sri Lanka,3,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,0,1015332,Foreign Non-Profit Making,NGO,Asia,LK,1.0,Material relief assistance and services,1.0,500000.0
2009/2010,0.0,S5320,0,Responsive,LK,Civil Society,72010,1,The Halo Trust,Sri Lanka,3,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,0,1015331,Foreign Non-Profit Making,NGO,Asia,LK,1.0,Material relief assistance and services,1.0,500000.0
2009/2010,0.0,S5330,1,Responsive,X1,Civil Society,72050,1,International Crisis Group,Africa MC,2,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,NGO,Africa,X1,0.5,Relief co-ordination; protection and support services,1.0,150000.0
2009/2010,0.0,S5330,1,Responsive,X2,Civil Society,72050,1,International Crisis Group,Americas MC,1,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,NGO,America,X2,0.1,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,0.0,S5330,1,Responsive,X3,Civil Society,72050,1,International Crisis Group,Asia MC,3,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,NGO,Asia,X3,0.3,Relief co-ordination; protection and support services,1.0,90000.0
2009/2010,0.0,S5330,1,Responsive,X4,Civil Society,72050,1,International Crisis Group,Europe MC,5,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,NGO,Europe,X4,0.1,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,0.0,S5320,0,Responsive,YE,Multilateral,72040,0,WFP - World Food Programme,Yemen,3,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,0,1001721,Foreign Non-Profit Making,UNITED NATIONS,Asia,YE,1.0,Emergency food aid,1.0,500000.0
2009/2010,0.0,S5320,0,Responsive,CO,Multilateral,72040,0,WFP - World Food Programme,Colombia,1,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,0,1001721,Foreign Non-Profit Making,UNITED NATIONS,America,CO,1.0,Emergency food aid,1.0,1500000.0
2009/2010,0.0,S5320,0,Responsive,TD,Multilateral,72040,0,WFP - World Food Programme,Chad,2,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,1,1001721,Foreign Non-Profit Making,UNITED NATIONS,Africa,TD,1.0,Emergency food aid,1.0,6500000.0
2009/2010,0.0,S5320,0,Responsive,SD,Multilateral,72040,0,WFP - World Food Programme,Sudan,2,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,0,1001721,Foreign Non-Profit Making,UNITED NATIONS,Africa,SD,1.0,Emergency food aid,1.0,3950000.0
2009/2010,0.0,S5330,0,Core Funding,X1,Multilateral,72010,0,UNHCR - United Nations High Commissioner for Refugees,Africa MC,2,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,UNITED NATIONS,Africa,X1,0.45,Material relief assistance and services,1.0,6300000.0
2009/2010,0.0,S5330,0,Core Funding,X2,Multilateral,72010,0,UNHCR - United Nations High Commissioner for Refugees,Americas MC,1,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,UNITED NATIONS,America,X2,0.05,Material relief assistance and services,1.0,700000.0
