assay_id,assay_tax_id,chembl_id,variant_id,tid,assay_type,assay_organism,curated_by,assay_subcellular_fraction,assay_cell_type,description,assay_category,relationship_type,confidence_score,doc_id,tissue_id,assay_test_type,assay_strain,assay_tissue
1,,CHEMBL615117,,12052,B,,Autocuration,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,H,8,11087,,,,
2,,CHEMBL615118,,22226,F,,Autocuration,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,U,0,684,,,,
3,,CHEMBL615119,,22226,B,,Autocuration,,,,,U,0,15453,,,,
4,9913.0,CHEMBL615120,,104729,B,Bos taurus,Autocuration,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,H,4,17841,,,,
5,9606.0,CHEMBL615121,,80001,F,Homo sapiens,Intermediate,,143B,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,N,1,17430,,,,
6,9606.0,CHEMBL615122,,80001,F,Homo sapiens,Intermediate,,143B,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,N,1,17430,,,,
7,10090.0,CHEMBL615123,,80001,F,Mus musculus,Intermediate,,143B,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,N,1,13799,,,,
8,9606.0,CHEMBL615124,,80001,F,Homo sapiens,Expert,,143B,In vitro cell cytotoxicity was determined against 143B cell line,,N,1,17774,,,,
9,9606.0,CHEMBL615125,,80001,F,Homo sapiens,Intermediate,,143B,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,N,1,3801,,,,
10,9606.0,CHEMBL615126,,80001,F,Homo sapiens,Intermediate,,143B,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,N,1,17430,,,,
11,9606.0,CHEMBL615127,,80001,F,Homo sapiens,Intermediate,,143B,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,N,1,17430,,,,
12,9606.0,CHEMBL615128,,80001,F,Homo sapiens,Expert,,143B,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,N,1,17774,,,,
13,1280.0,CHEMBL857900,,50185,F,Staphylococcus aureus,Intermediate,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,1,11324,,,,
14,1280.0,CHEMBL615129,,50185,F,Staphylococcus aureus,Intermediate,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,1,11324,,,,
15,1280.0,CHEMBL615130,,50185,F,Staphylococcus aureus,Intermediate,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,1,11324,,,,
16,1280.0,CHEMBL615131,,50185,F,Staphylococcus aureus,Intermediate,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,1,11324,,,,
17,10116.0,CHEMBL884521,,100122,A,Rattus norvegicus,Expert,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,D,9,11347,,,,
18,,CHEMBL615132,,12054,B,,Autocuration,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,H,8,16474,,,,
19,,CHEMBL615133,,12054,B,,Autocuration,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,H,8,10091,,,,
20,,CHEMBL615134,,12054,B,,Autocuration,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,H,8,16474,,,,
21,,CHEMBL615135,,12054,B,,Autocuration,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,H,8,16474,,,,
22,,CHEMBL615136,,12054,B,,Autocuration,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,H,8,16474,,,,
23,,CHEMBL615137,,12054,B,,Autocuration,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,H,8,16474,,,,
24,,CHEMBL615138,,12054,B,,Autocuration,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,H,8,16474,,,,
25,,CHEMBL836324,,22226,B,,Autocuration,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,U,0,14352,,,,
26,9986.0,CHEMBL615139,,12054,B,Oryctolagus cuniculus,Autocuration,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,H,8,5646,,,,
27,9986.0,CHEMBL615140,,12054,B,Oryctolagus cuniculus,Autocuration,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,H,8,5646,,,,
28,,CHEMBL615141,,12426,B,,Autocuration,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,H,8,10997,,,,
29,3847.0,CHEMBL615142,,12054,B,soya bean,Autocuration,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,H,8,6309,,,,
30,3847.0,CHEMBL615143,,12054,B,Glycine max,Autocuration,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,H,8,167,,,,
31,3847.0,CHEMBL615144,,12054,B,Glycine max,Autocuration,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,H,8,167,,,,
32,3847.0,CHEMBL872867,,12054,B,Glycine max,Autocuration,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,H,8,11087,,,,
33,3847.0,CHEMBL615145,,12054,B,Glycine max,Autocuration,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,H,8,11087,,,,
34,3847.0,CHEMBL615146,,12054,B,Glycine max,Autocuration,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,H,8,13622,,,,
35,3847.0,CHEMBL615147,,12054,B,Glycine max,Autocuration,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,H,8,13622,,,,
36,10116.0,CHEMBL615148,,22226,A,Rattus norvegicus,Autocuration,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,U,0,11347,,,,
37,562.0,CHEMBL615149,,22226,B,Escherichia coli,Autocuration,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,U,0,5926,,,,
38,,CHEMBL615150,,22226,B,,Autocuration,,,Dissociation constant with dimeric 16S rRNA RNA construct B,,U,0,4567,,,,
39,,CHEMBL615151,,22222,B,,Intermediate,,,Dissociation constant towards 16S rRNA construct A,,M,3,3782,,,,
40,,CHEMBL615152,,22222,B,,Intermediate,,,Dissociation constant towards 16S rRNA construct B,,M,3,3782,,,,
41,562.0,CHEMBL615153,,100263,B,Escherichia coli,Expert,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,M,3,4466,,,,
42,562.0,CHEMBL615154,,100263,B,Escherichia coli,Expert,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,M,3,6592,,,,
43,,CHEMBL615155,,13053,B,,Autocuration,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,8,898,,,,
44,,CHEMBL615156,,13053,B,,Autocuration,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,8,898,,,,
45,9606.0,CHEMBL615157,,20001,B,Homo sapiens,Autocuration,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,H,8,13163,,,,
46,9606.0,CHEMBL615158,,20001,B,Homo sapiens,Autocuration,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,H,8,13163,,,,
47,10116.0,CHEMBL615159,,12971,B,Rattus norvegicus,Expert,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,D,9,10691,,,,
48,10116.0,CHEMBL615172,,12971,B,Rattus norvegicus,Expert,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,D,9,10691,,,,
49,10116.0,CHEMBL615173,,12971,B,Rattus norvegicus,Expert,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,D,9,10691,,,,
50,10116.0,CHEMBL615174,,12971,B,Rattus norvegicus,Expert,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,D,9,10691,,,,
51,,CHEMBL884518,,13053,B,,Autocuration,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,8,898,,,,
