description,rating,title,release_year,rental_rate,replacement_cost,language_id,length,film_id,rental_duration,original_language_id
A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,PG,ACADEMY DINOSAUR,2006,0.99,20.99,1,86,1,6,
A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,G,ACE GOLDFINGER,2006,4.99,12.99,1,48,2,3,
A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,NC-17,ADAPTATION HOLES,2006,2.99,18.99,1,50,3,7,
A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,G,AFFAIR PREJUDICE,2006,2.99,26.99,1,117,4,5,
A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,G,AFRICAN EGG,2006,2.99,22.99,1,130,5,6,
A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,PG,AGENT TRUMAN,2006,2.99,17.99,1,169,6,3,
A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,PG-13,AIRPLANE SIERRA,2006,4.99,28.99,1,62,7,6,
A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,R,AIRPORT POLLOCK,2006,4.99,15.99,1,54,8,6,
A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,PG-13,ALABAMA DEVIL,2006,2.99,21.99,1,114,9,3,
A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,NC-17,ALADDIN CALENDAR,2006,4.99,24.99,1,63,10,6,
A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,G,ALAMO VIDEOTAPE,2006,0.99,16.99,1,126,11,6,
A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,PG,ALASKA PHANTOM,2006,0.99,22.99,1,136,12,6,
A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,PG,ALI FOREVER,2006,4.99,21.99,1,150,13,4,
