payment_date,rental_id,inventory_id,payment_id,rental_date,amount,customer_id,rstaff_id,pstaff_id,return_date
2005-05-25 11:30:37,76,3021,1,2005-05-25 11:30:37,2.99,1,2,1,2005-06-03 12:00:37
2005-05-28 10:35:23,573,4020,2,2005-05-28 10:35:23,0.99,1,1,1,2005-06-03 06:32:23
2005-06-15 00:54:12,1185,2785,3,2005-06-15 00:54:12,5.99,1,2,1,2005-06-23 02:42:12
2005-06-15 18:02:53,1422,1021,4,2005-06-15 18:02:53,0.99,1,2,2,2005-06-19 15:54:53
2005-06-15 21:08:46,1476,1407,5,2005-06-15 21:08:46,9.99,1,1,2,2005-06-25 02:26:46
2005-06-16 15:18:57,1725,726,6,2005-06-16 15:18:57,4.99,1,1,1,2005-06-17 21:05:57
2005-06-18 08:41:48,2308,197,7,2005-06-18 08:41:48,4.99,1,2,1,2005-06-22 03:36:48
2005-06-18 13:33:59,2363,3497,8,2005-06-18 13:33:59,0.99,1,1,2,2005-06-19 17:40:59
2005-06-21 06:24:45,3284,4566,9,2005-06-21 06:24:45,3.99,1,1,1,2005-06-28 03:28:45
2005-07-08 03:17:05,4526,1443,10,2005-07-08 03:17:05,5.99,1,2,2,2005-07-14 01:19:05
2005-07-08 07:33:56,4611,3486,11,2005-07-08 07:33:56,5.99,1,2,1,2005-07-12 13:25:56
2005-07-09 13:24:07,5244,3726,12,2005-07-09 13:24:07,4.99,1,2,1,2005-07-14 14:01:07
2005-07-09 16:38:01,5326,797,13,2005-07-09 16:38:01,4.99,1,1,1,2005-07-13 18:02:01
2005-07-11 10:13:46,6163,1330,14,2005-07-11 10:13:46,7.99,1,2,1,2005-07-19 13:15:46
2005-07-27 11:31:22,7273,2465,15,2005-07-27 11:31:22,2.99,1,1,2,2005-07-31 06:50:22
2005-07-28 09:04:45,7841,1092,16,2005-07-28 09:04:45,4.99,1,2,1,2005-07-30 12:37:45
2005-07-28 16:18:23,8033,4268,17,2005-07-28 16:18:23,4.99,1,1,2,2005-07-30 17:56:23
2005-07-28 17:33:39,8074,1558,18,2005-07-28 17:33:39,0.99,1,1,1,2005-07-29 20:17:39
2005-07-28 19:20:07,8116,4497,19,2005-07-28 19:20:07,0.99,1,1,2,2005-07-29 22:54:07
2005-07-29 03:58:49,8326,108,20,2005-07-29 03:58:49,2.99,1,2,2,2005-08-01 05:16:49
2005-07-31 02:42:18,9571,2219,21,2005-07-31 02:42:18,2.99,1,2,2,2005-08-02 23:26:18
2005-08-01 08:51:04,10437,14,22,2005-08-01 08:51:04,4.99,1,1,2,2005-08-10 12:12:04
2005-08-02 15:36:52,11299,3232,23,2005-08-02 15:36:52,3.99,1,2,2,2005-08-10 16:40:52
2005-08-02 18:01:38,11367,1440,24,2005-08-02 18:01:38,0.99,1,1,1,2005-08-04 13:19:38
2005-08-17 12:37:54,11824,2639,25,2005-08-17 12:37:54,4.99,1,2,2,2005-08-19 10:11:54
2005-08-18 03:57:29,12250,921,26,2005-08-18 03:57:29,0.99,1,1,1,2005-08-22 23:05:29
2005-08-19 09:55:16,13068,3019,27,2005-08-19 09:55:16,0.99,1,2,2,2005-08-20 14:44:16
2005-08-19 13:56:54,13176,2269,28,2005-08-19 13:56:54,2.99,1,2,2,2005-08-23 08:50:54
2005-08-21 23:33:57,14762,4249,29,2005-08-21 23:33:57,0.99,1,1,1,2005-08-23 01:30:57
2005-08-22 01:27:57,14825,1449,30,2005-08-22 01:27:57,1.99,1,2,1,2005-08-27 07:01:57
2005-08-22 19:41:37,15298,1446,31,2005-08-22 19:41:37,2.99,1,1,2,2005-08-28 22:49:37
2005-08-22 20:03:46,15315,312,32,2005-08-22 20:03:46,5.99,1,2,1,2005-08-30 01:51:46
