Fiscal year,Trade development (marker),Bilateral aid (international marker),Organisation sub-class,Section ID,Regional program (marker),Children issues (marker),ICT as a tool for development (marker),Biodiversity (marker),CountryRegion name,Amount spent,Indigenous issues (marker),CountryRegion percent,Organisation type,Status,FSTC percent,Urban issues (marker),Continent ID,Enviromental sustainability (marker),Branch ID,CIDA business delivery model (old),Programming process (new),Youth issues (marker),Desertification (marker),IRTC percent,Participatory development and good governance,Disability issues (marker),Knowledge for development (marker),Gender equality (marker),Organisation ID,Organisation name,Organisation class,Continent name,Project Browser country ID,CountryRegion ID,Sector ID,Sector name,Sector percent
2009/2010,0,0,UNITED NATIONS,S5602,0,0,1,0,Asia MC,75768.0,0,0.22,Foreign Non-Profit Making,Closed,0.0,0,3,1,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,1,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Asia,X3,X3,33140,Multilateral trade negotiations,0.14
2009/2010,0,0,UNITED NATIONS,S5602,0,0,1,0,Asia MC,273306.0,0,0.22,Foreign Non-Profit Making,Closed,0.0,0,3,1,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,1,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Asia,X3,X3,99810,Sectors not specified,0.505
2009/2010,0,0,UNITED NATIONS,S5602,0,0,1,0,Europe MC,210969.6,0,0.32,Foreign Non-Profit Making,Closed,0.0,0,5,1,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,1,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Europe,X4,X4,12191,Medical services,0.268
2009/2010,0,0,UNITED NATIONS,S5602,0,0,1,0,Europe MC,36998.4,0,0.32,Foreign Non-Profit Making,Closed,0.0,0,5,1,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,1,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Europe,X4,X4,14015,Water resources conservation (including data collection),0.047
2009/2010,0,0,UNITED NATIONS,S5602,0,0,1,0,Europe MC,31488.0,0,0.32,Foreign Non-Profit Making,Closed,0.0,0,5,1,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,1,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Europe,X4,X4,23510,Nuclear energy electric power plants,0.04
2009/2010,0,0,UNITED NATIONS,S5602,0,0,1,0,Europe MC,110208.0,0,0.32,Foreign Non-Profit Making,Closed,0.0,0,5,1,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,1,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Europe,X4,X4,33140,Multilateral trade negotiations,0.14
2009/2010,0,0,UNITED NATIONS,S5602,0,0,1,0,Europe MC,397536.0,0,0.32,Foreign Non-Profit Making,Closed,0.0,0,5,1,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,1,0,1,0,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Multilateral,Europe,X4,X4,99810,Sectors not specified,0.505
2009/2010,0,1,REGIONAL ORGANIZATION,S5320,0,0,0,0,El Salvador,300000.0,0,1.0,Foreign Non-Profit Making,Closed,0.0,0,1,0,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,0,1001300,PAHO - Pan American Health Organization,Multilateral,America,SV,SV,72010,Material relief assistance and services,1.0
2009/2010,0,1,INTERNATIONAL NGO,S5330,0,0,0,0,Africa MC,1500000.0,0,0.5,Canadian Non-Profit Making,Terminating,0.0,0,2,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Africa,X1,X1,72010,Material relief assistance and services,1.0
2009/2010,0,1,INTERNATIONAL NGO,S5330,0,0,0,0,Americas MC,450000.0,0,0.15,Canadian Non-Profit Making,Terminating,0.0,0,1,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,America,X2,X2,72010,Material relief assistance and services,1.0
2009/2010,0,1,INTERNATIONAL NGO,S5330,0,0,0,0,Asia MC,900000.0,0,0.3,Canadian Non-Profit Making,Terminating,0.0,0,3,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Asia,X3,X3,72010,Material relief assistance and services,1.0
2009/2010,0,1,INTERNATIONAL NGO,S5330,0,0,0,0,Europe MC,150000.0,0,0.05,Canadian Non-Profit Making,Terminating,0.0,0,5,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Europe,X4,X4,72010,Material relief assistance and services,1.0
2009/2010,0,1,INTERNATIONAL NGO,S5330,0,0,0,0,Africa MC,1500000.0,0,0.5,Canadian Non-Profit Making,Terminating,0.0,0,2,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Africa,X1,X1,72010,Material relief assistance and services,1.0
2009/2010,0,1,INTERNATIONAL NGO,S5330,0,0,0,0,Americas MC,450000.0,0,0.15,Canadian Non-Profit Making,Terminating,0.0,0,1,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,America,X2,X2,72010,Material relief assistance and services,1.0
2009/2010,0,1,INTERNATIONAL NGO,S5330,0,0,0,0,Asia MC,900000.0,0,0.3,Canadian Non-Profit Making,Terminating,0.0,0,3,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Asia,X3,X3,72010,Material relief assistance and services,1.0
