assays_ss_d,assays_td,assays_ss_ctgr,assays_ss_tst_tp,assays_cnfdnc_scr,assays_ss_strn,assays_rltnshp_tp,assays_ss_sbclllr_frctn,assays_ss_tss,assays_ss_cll_tp,assays_crtd_b,assays_dscrptn,assays_ss_tp,assays_src_d,assays_vrnt_d,assays_dc_d,assays_chmbl_d,assays_cll_d,assays_b_frmt,assays_tss_d
1,12052,,,8,,H,,,,Autocuration,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B,1,,11087,CHEMBL615117,,BAO_0000019,
2,22226,,,0,,U,,,,Autocuration,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F,1,,684,CHEMBL615118,,BAO_0000219,
3,22226,,,0,,U,,,,Autocuration,,B,1,,15453,CHEMBL615119,,BAO_0000019,
4,104729,,,4,,H,,,,Autocuration,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B,1,,17841,CHEMBL615120,,BAO_0000249,
5,80001,,,1,,N,,,143B,Intermediate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,1,,17430,CHEMBL615121,163.0,BAO_0000219,
6,80001,,,1,,N,,,143B,Intermediate,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F,1,,17430,CHEMBL615122,163.0,BAO_0000219,
7,80001,,,1,,N,,,143B,Intermediate,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F,1,,13799,CHEMBL615123,163.0,BAO_0000219,
8,80001,,,1,,N,,,143B,Expert,In vitro cell cytotoxicity was determined against 143B cell line,F,1,,17774,CHEMBL615124,163.0,BAO_0000219,
9,80001,,,1,,N,,,143B,Intermediate,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F,1,,3801,CHEMBL615125,163.0,BAO_0000219,
10,80001,,,1,,N,,,143B,Intermediate,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,1,,17430,CHEMBL615126,163.0,BAO_0000219,
11,80001,,,1,,N,,,143B,Intermediate,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F,1,,17430,CHEMBL615127,163.0,BAO_0000219,
12,80001,,,1,,N,,,143B,Expert,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F,1,,17774,CHEMBL615128,163.0,BAO_0000219,
13,50185,,,1,,N,,,,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,1,,11324,CHEMBL857900,,BAO_0000218,
14,50185,,,1,,N,,,,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,1,,11324,CHEMBL615129,,BAO_0000218,
15,50185,,,1,,N,,,,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,1,,11324,CHEMBL615130,,BAO_0000218,
16,50185,,,1,,N,,,,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,1,,11324,CHEMBL615131,,BAO_0000218,
17,100122,,,9,,D,,,,Expert,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,1,,11347,CHEMBL884521,,BAO_0000357,
18,12054,,,8,,H,,,,Autocuration,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,1,,16474,CHEMBL615132,,BAO_0000357,
19,12054,,,8,,H,,,,Autocuration,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,1,,10091,CHEMBL615133,,BAO_0000019,
20,12054,,,8,,H,,,,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,1,,16474,CHEMBL615134,,BAO_0000357,
21,12054,,,8,,H,,,,Autocuration,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,1,,16474,CHEMBL615135,,BAO_0000357,
22,12054,,,8,,H,,,,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,1,,16474,CHEMBL615136,,BAO_0000357,
23,12054,,,8,,H,,,,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,1,,16474,CHEMBL615137,,BAO_0000357,
24,12054,,,8,,H,,,,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,1,,16474,CHEMBL615138,,BAO_0000357,
25,22226,,,0,,U,,,,Autocuration,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,1,,14352,CHEMBL836324,,BAO_0000219,
26,12054,,,8,,H,,,,Autocuration,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,1,,5646,CHEMBL615139,,BAO_0000357,
27,12054,,,8,,H,,,,Autocuration,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,1,,5646,CHEMBL615140,,BAO_0000357,
28,12426,,,8,,H,,,,Autocuration,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,1,,10997,CHEMBL615141,,BAO_0000219,
29,12054,,,8,,H,,,,Autocuration,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,1,,6309,CHEMBL615142,,BAO_0000357,
30,12054,,,8,,H,,,,Autocuration,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,1,,167,CHEMBL615143,,BAO_0000357,
31,12054,,,8,,H,,,,Autocuration,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,1,,167,CHEMBL615144,,BAO_0000357,
32,12054,,,8,,H,,,,Autocuration,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,1,,11087,CHEMBL872867,,BAO_0000357,
33,12054,,,8,,H,,,,Autocuration,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,1,,11087,CHEMBL615145,,BAO_0000357,
34,12054,,,8,,H,,,,Autocuration,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,1,,13622,CHEMBL615146,,BAO_0000357,
35,12054,,,8,,H,,,,Autocuration,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,1,,13622,CHEMBL615147,,BAO_0000357,
36,22226,,,0,,U,,,,Autocuration,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,1,,11347,CHEMBL615148,,BAO_0000019,
37,22226,,,0,,U,,,,Autocuration,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,1,,5926,CHEMBL615149,,BAO_0000019,
38,22226,,,0,,U,,,,Autocuration,Dissociation constant with dimeric 16S rRNA RNA construct B,B,1,,4567,CHEMBL615150,,BAO_0000019,
39,22222,,,3,,M,,,,Intermediate,Dissociation constant towards 16S rRNA construct A,B,1,,3782,CHEMBL615151,,BAO_0000225,
40,22222,,,3,,M,,,,Intermediate,Dissociation constant towards 16S rRNA construct B,B,1,,3782,CHEMBL615152,,BAO_0000225,
41,100263,,,3,,M,,,,Expert,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,1,,4466,CHEMBL615153,,BAO_0000225,
