assays_variant_id,assays_cell_id,assays_assay_subcellular_fraction,assays_assay_type,assays_assay_tax_id,assays_confidence_score,assays_assay_category,assays_src_id,assays_assay_id,assays_assay_strain,assays_doc_id,assays_src_assay_id,assays_assay_cell_type,assays_bao_format,assays_chembl_id,assays_description,assays_assay_test_type,assays_relationship_type,assays_tissue_id,assays_assay_tissue,assays_tid,assays_assay_organism,assays_curated_by
,,,A,10116.0,1,,1,7524,,9866,,,BAO_0000218,CHEMBL618647,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,N,2113.0,Kidney,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7525,,9866,,,BAO_0000218,CHEMBL618648,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,In vivo,N,2113.0,Kidney,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7526,,9866,,,BAO_0000218,CHEMBL618649,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,N,2113.0,Kidney,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7527,,9866,,,BAO_0000218,CHEMBL618650,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,N,2107.0,Liver,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7528,,9866,,,BAO_0000218,CHEMBL618651,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,In vivo,N,2107.0,Liver,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7529,,9866,,,BAO_0000218,CHEMBL876497,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,N,2107.0,Liver,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7530,,9866,,,BAO_0000218,CHEMBL618652,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,In vivo,N,2048.0,Lung,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7531,,9866,,,BAO_0000218,CHEMBL618653,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,In vivo,N,2048.0,Lung,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7532,,9866,,,BAO_0000218,CHEMBL618654,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,In vivo,N,2048.0,Lung,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7533,,6351,,,BAO_0000218,CHEMBL618655,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7534,,1465,,,BAO_0000218,CHEMBL618656,Compound was tested for solubility in water,,N,,,50597,Rattus norvegicus,Intermediate
,,,P,,0,,1,7535,,5182,,,BAO_0000100,CHEMBL618657,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,U,,,22229,,Intermediate
,,,A,10116.0,1,,1,7536,,17847,,,BAO_0000218,CHEMBL618658,Solubility was determined,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7537,,15339,,,BAO_0000218,CHEMBL618659,solubility in water (ug/mL) at 37 degree C.,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7538,,5202,,,BAO_0000218,CHEMBL618660,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7539,,1088,,,BAO_0000218,CHEMBL618661,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7540,,3169,,,BAO_0000218,CHEMBL873807,Half life in rats,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7541,,5353,,,BAO_0000218,CHEMBL618662,Half life in Dawley rat,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7542,,2864,,,BAO_0000218,CHEMBL618663,Half life period after 3 mg/kg iv administration,In vivo,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7543,,2864,,,BAO_0000218,CHEMBL618664,Half life period after 3 mg/kg iv administration in rat,In vivo,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7544,,2864,,,BAO_0000218,CHEMBL618665,Half life period after 3 mg/kg iv administration in the rat,In vivo,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7545,,6362,,,BAO_0000218,CHEMBL876498,Half life period in female Sprague-Dawley rats,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7546,,6249,,,BAO_0000218,CHEMBL618666,Half life period in rat,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7547,,3169,,,BAO_0000218,CHEMBL620440,Half-life in rats was determined,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7548,,3169,,,BAO_0000218,CHEMBL620441,Half-life in rats with metabolic oxidation,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7549,,3169,,,BAO_0000218,CHEMBL620442,Half-life in rats,,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7550,,17260,,,BAO_0000218,CHEMBL620443,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,In vivo,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7551,,17260,,,BAO_0000218,CHEMBL620444,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,In vivo,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7552,,17260,,,BAO_0000218,CHEMBL620445,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,In vivo,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7553,,17260,,,BAO_0000218,CHEMBL620446,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,In vivo,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7554,,2879,,,BAO_0000218,CHEMBL620447,Biological half-life measured in plasma of rat,,N,1969.0,Plasma,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7555,,2879,,,BAO_0000218,CHEMBL621129,Biological half-life measured in plasma of rat; 22-25,,N,1969.0,Plasma,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7556,,2879,,,BAO_0000218,CHEMBL621130,Biological half-life measured in plasma of rat; 9-16,,N,1969.0,Plasma,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7557,,3184,,,BAO_0000218,CHEMBL873808,Compound was evaluated for its half life when administered intravenously in rat,In vivo,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7558,,4891,,,BAO_0000218,CHEMBL876598,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,In vivo,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7559,,429,,,BAO_0000218,CHEMBL621131,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,In vivo,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7560,,5656,,,BAO_0000218,CHEMBL621132,Half life (T1/2) after oral administration in rat,In vivo,N,,,50597,Rattus norvegicus,Intermediate
,,,A,10116.0,1,,1,7561,,4413,,,BAO_0000218,CHEMBL621133,Half life of compound after iv administration of 20 mg/kg dose in rat,In vivo,N,,,50597,Rattus norvegicus,Intermediate
