fsclr,sctrd,clmtchngdpttn(mrkr),rgnstnclss,prjctbrwsrcntrd,cdbsnssdlvrmdl(ld),dvsnnm,knwldgfrdvlpmnt(mrkr),ntdmnt(prjct-lvlbdgt),stts,gndrqlt(mrkr),thsss(mrkr),prjctnmbr,prgrmmngprcss(nw),fndcntrd,bdvrst(mrkr),rbnsss(mrkr),chldrnsss(mrkr),ndgnssss(mrkr),dsbltsss(mrkr),ctstlfrdvlpmnt(mrkr),rgnstnd,rgnstnnm,rgnstntp,rgnstnsb-clss,cntnntd,cntnntnm,cntrrgnd,cntrrgnnm,cntrrgnprcnt,sctrnm,sctrprcnt,mntspnt
2009/2010,33140,0,Multilateral,X3,Core Funding,MID International Organizations,1,2460000.0,Closed,0,0,M013170001,Uncoded: Pre-APP,5291,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,3,Asia,X3,Asia MC,0.22,Multilateral trade negotiations,0.14,75768.0
2009/2010,99810,0,Multilateral,X3,Core Funding,MID International Organizations,1,2460000.0,Closed,0,0,M013170001,Uncoded: Pre-APP,5291,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,3,Asia,X3,Asia MC,0.22,Sectors not specified,0.505,273306.0
2009/2010,12191,0,Multilateral,X4,Core Funding,MID International Organizations,1,2460000.0,Closed,0,0,M013170001,Uncoded: Pre-APP,5291,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,5,Europe,X4,Europe MC,0.32,Medical services,0.268,210969.6
2009/2010,14015,0,Multilateral,X4,Core Funding,MID International Organizations,1,2460000.0,Closed,0,0,M013170001,Uncoded: Pre-APP,5291,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,5,Europe,X4,Europe MC,0.32,Water resources conservation (including data collection),0.047,36998.4
2009/2010,23510,0,Multilateral,X4,Core Funding,MID International Organizations,1,2460000.0,Closed,0,0,M013170001,Uncoded: Pre-APP,5291,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,5,Europe,X4,Europe MC,0.32,Nuclear energy electric power plants,0.04,31488.0
2009/2010,33140,0,Multilateral,X4,Core Funding,MID International Organizations,1,2460000.0,Closed,0,0,M013170001,Uncoded: Pre-APP,5291,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,5,Europe,X4,Europe MC,0.32,Multilateral trade negotiations,0.14,110208.0
2009/2010,99810,0,Multilateral,X4,Core Funding,MID International Organizations,1,2460000.0,Closed,0,0,M013170001,Uncoded: Pre-APP,5291,0,0,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,UNITED NATIONS,5,Europe,X4,Europe MC,0.32,Sectors not specified,0.505,397536.0
2009/2010,72010,0,Multilateral,SV,Responsive,MHDInternational Humanitarian Assistance,0,300000.0,Closed,0,0,M013171001,Uncoded: Pre-APP,5303,0,0,0,0,0,0,1001300,PAHO - Pan American Health Organization,Foreign Non-Profit Making,REGIONAL ORGANIZATION,1,America,SV,El Salvador,1.0,Material relief assistance and services,1.0,300000.0
2009/2010,72010,0,Civil Society,X1,Core Funding,MHDInternational Humanitarian Assistance,0,3000000.0,Terminating,1,0,M013172001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,2,Africa,X1,Africa MC,0.5,Material relief assistance and services,1.0,1500000.0
2009/2010,72010,0,Civil Society,X2,Core Funding,MHDInternational Humanitarian Assistance,0,3000000.0,Terminating,1,0,M013172001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,1,America,X2,Americas MC,0.15,Material relief assistance and services,1.0,450000.0
2009/2010,72010,0,Civil Society,X3,Core Funding,MHDInternational Humanitarian Assistance,0,3000000.0,Terminating,1,0,M013172001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,3,Asia,X3,Asia MC,0.3,Material relief assistance and services,1.0,900000.0
2009/2010,72010,0,Civil Society,X4,Core Funding,MHDInternational Humanitarian Assistance,0,3000000.0,Terminating,1,0,M013172001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,5,Europe,X4,Europe MC,0.05,Material relief assistance and services,1.0,150000.0
2009/2010,72010,0,Civil Society,X1,Core Funding,MHDInternational Humanitarian Assistance,0,3000000.0,Terminating,1,0,M013173001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,2,Africa,X1,Africa MC,0.5,Material relief assistance and services,1.0,1500000.0
2009/2010,72010,0,Civil Society,X2,Core Funding,MHDInternational Humanitarian Assistance,0,3000000.0,Terminating,1,0,M013173001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,1,America,X2,Americas MC,0.15,Material relief assistance and services,1.0,450000.0
2009/2010,72010,0,Civil Society,X3,Core Funding,MHDInternational Humanitarian Assistance,0,3000000.0,Terminating,1,0,M013173001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,3,Asia,X3,Asia MC,0.3,Material relief assistance and services,1.0,900000.0
2009/2010,72010,0,Civil Society,X4,Core Funding,MHDInternational Humanitarian Assistance,0,3000000.0,Terminating,1,0,M013173001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,5,Europe,X4,Europe MC,0.05,Material relief assistance and services,1.0,150000.0
2009/2010,72010,0,Civil Society,LK,Responsive,MHDInternational Humanitarian Assistance,0,500000.0,Closed,0,0,M013174001,Uncoded: Pre-APP,5303,0,0,0,0,0,0,1015332,Mines Advisory Group,Foreign Non-Profit Making,NGO,3,Asia,LK,Sri Lanka,1.0,Material relief assistance and services,1.0,500000.0
