ASI,ASSSUBCELFR,Descri,TISI,VAI,Ti,ASSCTY,RELAT,CONFISC,CUB,SRI,SASI,CHI,CI,BAFO
7524,,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,2113.0,,50597,,N,1,Intermediate,1,,CHEMBL618647,,BAO_0000218
7525,,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,2113.0,,50597,,N,1,Intermediate,1,,CHEMBL618648,,BAO_0000218
7526,,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,2113.0,,50597,,N,1,Intermediate,1,,CHEMBL618649,,BAO_0000218
7527,,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL618650,,BAO_0000218
7528,,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL618651,,BAO_0000218
7529,,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL876497,,BAO_0000218
7530,,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL618652,,BAO_0000218
7531,,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL618653,,BAO_0000218
7532,,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL618654,,BAO_0000218
7533,,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,,,50597,,N,1,Intermediate,1,,CHEMBL618655,,BAO_0000218
7534,,Compound was tested for solubility in water,,,50597,,N,1,Intermediate,1,,CHEMBL618656,,BAO_0000218
7535,,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,,22229,,U,0,Intermediate,1,,CHEMBL618657,,BAO_0000100
7536,,Solubility was determined,,,50597,,N,1,Intermediate,1,,CHEMBL618658,,BAO_0000218
7537,,solubility in water (ug/mL) at 37 degree C.,,,50597,,N,1,Intermediate,1,,CHEMBL618659,,BAO_0000218
7538,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,,50597,,N,1,Intermediate,1,,CHEMBL618660,,BAO_0000218
7539,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,,50597,,N,1,Intermediate,1,,CHEMBL618661,,BAO_0000218
7540,,Half life in rats,,,50597,,N,1,Intermediate,1,,CHEMBL873807,,BAO_0000218
7541,,Half life in Dawley rat,,,50597,,N,1,Intermediate,1,,CHEMBL618662,,BAO_0000218
7542,,Half life period after 3 mg/kg iv administration,,,50597,,N,1,Intermediate,1,,CHEMBL618663,,BAO_0000218
7543,,Half life period after 3 mg/kg iv administration in rat,,,50597,,N,1,Intermediate,1,,CHEMBL618664,,BAO_0000218
7544,,Half life period after 3 mg/kg iv administration in the rat,,,50597,,N,1,Intermediate,1,,CHEMBL618665,,BAO_0000218
7545,,Half life period in female Sprague-Dawley rats,,,50597,,N,1,Intermediate,1,,CHEMBL876498,,BAO_0000218
7546,,Half life period in rat,,,50597,,N,1,Intermediate,1,,CHEMBL618666,,BAO_0000218
7547,,Half-life in rats was determined,,,50597,,N,1,Intermediate,1,,CHEMBL620440,,BAO_0000218
7548,,Half-life in rats with metabolic oxidation,,,50597,,N,1,Intermediate,1,,CHEMBL620441,,BAO_0000218
7549,,Half-life in rats,,,50597,,N,1,Intermediate,1,,CHEMBL620442,,BAO_0000218
7550,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,,50597,,N,1,Intermediate,1,,CHEMBL620443,,BAO_0000218
7551,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,,50597,,N,1,Intermediate,1,,CHEMBL620444,,BAO_0000218
7552,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,,50597,,N,1,Intermediate,1,,CHEMBL620445,,BAO_0000218
7553,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,,50597,,N,1,Intermediate,1,,CHEMBL620446,,BAO_0000218
7554,,Biological half-life measured in plasma of rat,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL620447,,BAO_0000218
7555,,Biological half-life measured in plasma of rat; 22-25,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL621129,,BAO_0000218
7556,,Biological half-life measured in plasma of rat; 9-16,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL621130,,BAO_0000218
7557,,Compound was evaluated for its half life when administered intravenously in rat,,,50597,,N,1,Intermediate,1,,CHEMBL873808,,BAO_0000218
7558,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,,,50597,,N,1,Intermediate,1,,CHEMBL876598,,BAO_0000218
