assays_ss_d,assays_src_d,assays_dscrptn,assays_ss_rgnsm,assays_cnfdnc_scr,assays_td,assays_ss_sbclllr_frctn,assays_rltnshp_tp,assays_crtd_b,assays_src_ss_d,assays_chmbl_d,assays_cll_d,assays_b_frmt,assays_tss_d,assays_vrnt_d
7524,1,Biodistribution in normal rat kidney in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618647,,BAO_0000218,2113.0,
7525,1,Biodistribution in normal rat kidney in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618648,,BAO_0000218,2113.0,
7526,1,Biodistribution in normal rat kidney in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618649,,BAO_0000218,2113.0,
7527,1,Biodistribution in normal rat liver in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618650,,BAO_0000218,2107.0,
7528,1,Biodistribution in normal rat liver in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618651,,BAO_0000218,2107.0,
7529,1,Biodistribution in normal rat liver in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL876497,,BAO_0000218,2107.0,
7530,1,Biodistribution in normal rat lung in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618652,,BAO_0000218,2048.0,
7531,1,Biodistribution in normal rat lung in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618653,,BAO_0000218,2048.0,
7532,1,Biodistribution in normal rat lung in the presence of NAC Gd 0.01 M lig at 2 hr,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618654,,BAO_0000218,2048.0,
7533,1,Recovery rate from urine and bile was determined after iv administration at 20 mg/kg in rats; Not tested,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618655,,BAO_0000218,,
7534,1,Compound was tested for solubility in water,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618656,,BAO_0000218,,
7535,1,Solubility in phosphate buffered saline (1% DMSO) at pH 6.5 (24 hr equilibration),,0,22229,,U,Intermediate,,CHEMBL618657,,BAO_0000100,,
7536,1,Solubility was determined,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618658,,BAO_0000218,,
