assays_ASI,assays_VARI,assays_SRI,assays_ASSCTY,assays_BFO,assays_TII,assays_ASSTIS,assays_ASSUBFR,assays_T,assays_RELT,assays_CONFISC,assays_CURAB,assays_SASI,assays_CHEI,assays_CI
7524,,1,,BAO_0000218,2113.0,Kidney,,50597,N,1,Intermediate,,CHEMBL618647,
7525,,1,,BAO_0000218,2113.0,Kidney,,50597,N,1,Intermediate,,CHEMBL618648,
7526,,1,,BAO_0000218,2113.0,Kidney,,50597,N,1,Intermediate,,CHEMBL618649,
7527,,1,,BAO_0000218,2107.0,Liver,,50597,N,1,Intermediate,,CHEMBL618650,
7528,,1,,BAO_0000218,2107.0,Liver,,50597,N,1,Intermediate,,CHEMBL618651,
7529,,1,,BAO_0000218,2107.0,Liver,,50597,N,1,Intermediate,,CHEMBL876497,
7530,,1,,BAO_0000218,2048.0,Lung,,50597,N,1,Intermediate,,CHEMBL618652,
7531,,1,,BAO_0000218,2048.0,Lung,,50597,N,1,Intermediate,,CHEMBL618653,
7532,,1,,BAO_0000218,2048.0,Lung,,50597,N,1,Intermediate,,CHEMBL618654,
7533,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618655,
7534,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618656,
7535,,1,,BAO_0000100,,,,22229,U,0,Intermediate,,CHEMBL618657,
7536,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618658,
7537,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618659,
7538,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618660,
7539,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618661,
7540,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL873807,
7541,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618662,
7542,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618663,
7543,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618664,
7544,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618665,
7545,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL876498,
7546,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618666,
7547,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL620440,
7548,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL620441,
7549,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL620442,
7550,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL620443,
7551,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL620444,
7552,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL620445,
7553,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL620446,
7554,,1,,BAO_0000218,1969.0,Plasma,,50597,N,1,Intermediate,,CHEMBL620447,
7555,,1,,BAO_0000218,1969.0,Plasma,,50597,N,1,Intermediate,,CHEMBL621129,
7556,,1,,BAO_0000218,1969.0,Plasma,,50597,N,1,Intermediate,,CHEMBL621130,
7557,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL873808,
7558,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL876598,
7559,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621131,
7560,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621132,
7561,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621133,
7562,,1,,BAO_0000218,,,,50597,N,1,Expert,,CHEMBL621312,
7563,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621313,
7564,,1,,BAO_0000218,178.0,Blood,,50597,N,1,Intermediate,,CHEMBL621314,
7565,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621315,
7566,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621316,
7567,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621317,
7568,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621318,
7569,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621319,
7570,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621377,
7571,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621378,
7572,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL876599,
7573,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL621379,
7574,,1,,BAO_0000218,1969.0,Plasma,,50597,N,1,Intermediate,,CHEMBL621380,
7575,,1,,BAO_0000218,1969.0,Plasma,,50597,N,1,Intermediate,,CHEMBL621381,
7576,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618515,
7577,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618516,
7578,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618517,
7579,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618518,
7580,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618519,
7581,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618698,
7582,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618862,
7583,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618863,
7584,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618864,
7585,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618865,
7586,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618866,
7587,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618867,
7588,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL875828,
7589,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618868,
7590,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618869,
7591,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL618870,
7592,,1,,BAO_0000218,1969.0,Plasma,,50597,N,1,Intermediate,,CHEMBL618871,
7593,,1,,BAO_0000218,1969.0,Plasma,,50597,N,1,Intermediate,,CHEMBL618872,
7594,,1,,BAO_0000218,,,,50597,N,1,Intermediate,,CHEMBL873816,
7595,,1,,BAO_0000218,,,,22224,U,0,Autocuration,,CHEMBL618873,
