assay_id,assay_strain,assay_test_type,curated_by,assay_subcellular_fraction,chembl_id,tid,relationship_type,confidence_score,src_id,src_assay_id,cell_id,bao_format,tissue_id,variant_id
7524,,In vivo,Intermediate,,CHEMBL618647,50597,N,1,1,,,BAO_0000218,2113.0,
7525,,In vivo,Intermediate,,CHEMBL618648,50597,N,1,1,,,BAO_0000218,2113.0,
7526,,In vivo,Intermediate,,CHEMBL618649,50597,N,1,1,,,BAO_0000218,2113.0,
7527,,In vivo,Intermediate,,CHEMBL618650,50597,N,1,1,,,BAO_0000218,2107.0,
7528,,In vivo,Intermediate,,CHEMBL618651,50597,N,1,1,,,BAO_0000218,2107.0,
7529,,In vivo,Intermediate,,CHEMBL876497,50597,N,1,1,,,BAO_0000218,2107.0,
7530,,In vivo,Intermediate,,CHEMBL618652,50597,N,1,1,,,BAO_0000218,2048.0,
7531,,In vivo,Intermediate,,CHEMBL618653,50597,N,1,1,,,BAO_0000218,2048.0,
7532,,In vivo,Intermediate,,CHEMBL618654,50597,N,1,1,,,BAO_0000218,2048.0,
7533,,,Intermediate,,CHEMBL618655,50597,N,1,1,,,BAO_0000218,,
7534,,,Intermediate,,CHEMBL618656,50597,N,1,1,,,BAO_0000218,,
7535,,,Intermediate,,CHEMBL618657,22229,U,0,1,,,BAO_0000100,,
7536,,,Intermediate,,CHEMBL618658,50597,N,1,1,,,BAO_0000218,,
7537,,,Intermediate,,CHEMBL618659,50597,N,1,1,,,BAO_0000218,,
7538,,,Intermediate,,CHEMBL618660,50597,N,1,1,,,BAO_0000218,,
7539,,,Intermediate,,CHEMBL618661,50597,N,1,1,,,BAO_0000218,,
7540,,,Intermediate,,CHEMBL873807,50597,N,1,1,,,BAO_0000218,,
7541,,,Intermediate,,CHEMBL618662,50597,N,1,1,,,BAO_0000218,,
7542,,In vivo,Intermediate,,CHEMBL618663,50597,N,1,1,,,BAO_0000218,,
7543,,In vivo,Intermediate,,CHEMBL618664,50597,N,1,1,,,BAO_0000218,,
7544,,In vivo,Intermediate,,CHEMBL618665,50597,N,1,1,,,BAO_0000218,,
7545,,,Intermediate,,CHEMBL876498,50597,N,1,1,,,BAO_0000218,,
7546,,,Intermediate,,CHEMBL618666,50597,N,1,1,,,BAO_0000218,,
7547,,,Intermediate,,CHEMBL620440,50597,N,1,1,,,BAO_0000218,,
7548,,,Intermediate,,CHEMBL620441,50597,N,1,1,,,BAO_0000218,,
7549,,,Intermediate,,CHEMBL620442,50597,N,1,1,,,BAO_0000218,,
7550,,In vivo,Intermediate,,CHEMBL620443,50597,N,1,1,,,BAO_0000218,,
7551,,In vivo,Intermediate,,CHEMBL620444,50597,N,1,1,,,BAO_0000218,,
7552,,In vivo,Intermediate,,CHEMBL620445,50597,N,1,1,,,BAO_0000218,,
7553,,In vivo,Intermediate,,CHEMBL620446,50597,N,1,1,,,BAO_0000218,,
7554,,,Intermediate,,CHEMBL620447,50597,N,1,1,,,BAO_0000218,1969.0,
7555,,,Intermediate,,CHEMBL621129,50597,N,1,1,,,BAO_0000218,1969.0,
7556,,,Intermediate,,CHEMBL621130,50597,N,1,1,,,BAO_0000218,1969.0,
7557,,In vivo,Intermediate,,CHEMBL873808,50597,N,1,1,,,BAO_0000218,,
7558,,In vivo,Intermediate,,CHEMBL876598,50597,N,1,1,,,BAO_0000218,,
7559,,In vivo,Intermediate,,CHEMBL621131,50597,N,1,1,,,BAO_0000218,,
7560,,In vivo,Intermediate,,CHEMBL621132,50597,N,1,1,,,BAO_0000218,,
7561,,In vivo,Intermediate,,CHEMBL621133,50597,N,1,1,,,BAO_0000218,,
7562,,In vivo,Expert,,CHEMBL621312,50597,N,1,1,,,BAO_0000218,,
7563,,,Intermediate,,CHEMBL621313,50597,N,1,1,,,BAO_0000218,,
7564,,,Intermediate,,CHEMBL621314,50597,N,1,1,,,BAO_0000218,178.0,
7565,,In vivo,Intermediate,,CHEMBL621315,50597,N,1,1,,,BAO_0000218,,
7566,,In vivo,Intermediate,,CHEMBL621316,50597,N,1,1,,,BAO_0000218,,
7567,,,Intermediate,,CHEMBL621317,50597,N,1,1,,,BAO_0000218,,
7568,,,Intermediate,,CHEMBL621318,50597,N,1,1,,,BAO_0000218,,
7569,,In vivo,Intermediate,,CHEMBL621319,50597,N,1,1,,,BAO_0000218,,
7570,,In vivo,Intermediate,,CHEMBL621377,50597,N,1,1,,,BAO_0000218,,
7571,,,Intermediate,,CHEMBL621378,50597,N,1,1,,,BAO_0000218,,
7572,,In vivo,Intermediate,,CHEMBL876599,50597,N,1,1,,,BAO_0000218,,
7573,,In vivo,Intermediate,,CHEMBL621379,50597,N,1,1,,,BAO_0000218,,
7574,,,Intermediate,,CHEMBL621380,50597,N,1,1,,,BAO_0000218,1969.0,
7575,,,Intermediate,,CHEMBL621381,50597,N,1,1,,,BAO_0000218,1969.0,
7576,,,Intermediate,,CHEMBL618515,50597,N,1,1,,,BAO_0000218,,
7577,,In vivo,Intermediate,,CHEMBL618516,50597,N,1,1,,,BAO_0000218,,
7578,,In vivo,Intermediate,,CHEMBL618517,50597,N,1,1,,,BAO_0000218,,
7579,,,Intermediate,,CHEMBL618518,50597,N,1,1,,,BAO_0000218,,
7580,,In vivo,Intermediate,,CHEMBL618519,50597,N,1,1,,,BAO_0000218,,
7581,,In vivo,Intermediate,,CHEMBL618698,50597,N,1,1,,,BAO_0000218,,
7582,,In vivo,Intermediate,,CHEMBL618862,50597,N,1,1,,,BAO_0000218,,
7583,,In vivo,Intermediate,,CHEMBL618863,50597,N,1,1,,,BAO_0000218,,
