FiY,UrIs,SecID,ICTAAToFoDeve,OrganiSu,SecNa,FCeID,IRTCPerc,Dese,DivN,OrgCl,BilaAMar,GenEqua,TraDevel,SecPerc,Sta,ProjNu,IndIss,RegProg,ProBroCouID,ClChaAdap,BrID,SeN,FuCenN,SeID,ChIss,YouIss,DisabIss,KnowlFDeve,OrgaID,OrganiN,OrganiTy,ContID,ConN,CouRegID,CouReNa,CounRegPerc,AmSp
2009/2010,0,33140,1,UNITED NATIONS,Multilateral trade negotiations,5291,0.0,0,MID International Organizations,Multilateral,0,0,0,0.14,Closed,M013170001,0,0,X3,0,B5100,MIO United Nations,UN - CORE,S5602,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,3,Asia,X3,Asia MC,0.22,75768.0
2009/2010,0,99810,1,UNITED NATIONS,Sectors not specified,5291,0.0,0,MID International Organizations,Multilateral,0,0,0,0.505,Closed,M013170001,0,0,X3,0,B5100,MIO United Nations,UN - CORE,S5602,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,3,Asia,X3,Asia MC,0.22,273306.0
2009/2010,0,12191,1,UNITED NATIONS,Medical services,5291,0.0,0,MID International Organizations,Multilateral,0,0,0,0.268,Closed,M013170001,0,0,X4,0,B5100,MIO United Nations,UN - CORE,S5602,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,5,Europe,X4,Europe MC,0.32,210969.6
2009/2010,0,14015,1,UNITED NATIONS,Water resources conservation (including data collection),5291,0.0,0,MID International Organizations,Multilateral,0,0,0,0.047,Closed,M013170001,0,0,X4,0,B5100,MIO United Nations,UN - CORE,S5602,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,5,Europe,X4,Europe MC,0.32,36998.4
2009/2010,0,23510,1,UNITED NATIONS,Nuclear energy electric power plants,5291,0.0,0,MID International Organizations,Multilateral,0,0,0,0.04,Closed,M013170001,0,0,X4,0,B5100,MIO United Nations,UN - CORE,S5602,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,5,Europe,X4,Europe MC,0.32,31488.0
2009/2010,0,33140,1,UNITED NATIONS,Multilateral trade negotiations,5291,0.0,0,MID International Organizations,Multilateral,0,0,0,0.14,Closed,M013170001,0,0,X4,0,B5100,MIO United Nations,UN - CORE,S5602,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,5,Europe,X4,Europe MC,0.32,110208.0
2009/2010,0,99810,1,UNITED NATIONS,Sectors not specified,5291,0.0,0,MID International Organizations,Multilateral,0,0,0,0.505,Closed,M013170001,0,0,X4,0,B5100,MIO United Nations,UN - CORE,S5602,0,0,0,1,1005967,IAEA - International Atomic Energy Agency Technical Cooperation Fund,Foreign Non-Profit Making,5,Europe,X4,Europe MC,0.32,397536.0
2009/2010,0,72010,0,REGIONAL ORGANIZATION,Material relief assistance and services,5303,0.0,0,MHDInternational Humanitarian Assistance,Multilateral,1,0,0,1.0,Closed,M013171001,0,0,SV,0,B5100,MHI International Humanitarian Assis ops,MHI Non-Food INIT,S5320,0,0,0,0,1001300,PAHO - Pan American Health Organization,Foreign Non-Profit Making,1,America,SV,El Salvador,1.0,300000.0
2009/2010,0,72010,0,INTERNATIONAL NGO,Material relief assistance and services,5311,0.0,0,MHDInternational Humanitarian Assistance,Civil Society,1,1,0,1.0,Terminating,M013172001,0,0,X1,0,B5100,MHO Huma Organization & Food Assistance,MHO Non Food - CORE,S5330,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,2,Africa,X1,Africa MC,0.5,1500000.0
2009/2010,0,72010,0,INTERNATIONAL NGO,Material relief assistance and services,5311,0.0,0,MHDInternational Humanitarian Assistance,Civil Society,1,1,0,1.0,Terminating,M013172001,0,0,X2,0,B5100,MHO Huma Organization & Food Assistance,MHO Non Food - CORE,S5330,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,1,America,X2,Americas MC,0.15,450000.0
