assays_ASSI,assays_CURB,assays_ASORGA,assays_VARI,assays_ASSSTR,assays_DI,assays_ASSCAT,assays_ASSTTY,assays_ASSUBCELFRA,assays_T,assays_AST,assays_SRI,assays_SRASI,assays_CHEI,assays_CI,assays_BAFO,assays_TII
7524,Intermediate,Rattus norvegicus,,,9866,,In vivo,,50597,A,1,,CHEMBL618647,,BAO_0000218,2113.0
7525,Intermediate,Rattus norvegicus,,,9866,,In vivo,,50597,A,1,,CHEMBL618648,,BAO_0000218,2113.0
7526,Intermediate,Rattus norvegicus,,,9866,,In vivo,,50597,A,1,,CHEMBL618649,,BAO_0000218,2113.0
7527,Intermediate,Rattus norvegicus,,,9866,,In vivo,,50597,A,1,,CHEMBL618650,,BAO_0000218,2107.0
7528,Intermediate,Rattus norvegicus,,,9866,,In vivo,,50597,A,1,,CHEMBL618651,,BAO_0000218,2107.0
7529,Intermediate,Rattus norvegicus,,,9866,,In vivo,,50597,A,1,,CHEMBL876497,,BAO_0000218,2107.0
7530,Intermediate,Rattus norvegicus,,,9866,,In vivo,,50597,A,1,,CHEMBL618652,,BAO_0000218,2048.0
7531,Intermediate,Rattus norvegicus,,,9866,,In vivo,,50597,A,1,,CHEMBL618653,,BAO_0000218,2048.0
7532,Intermediate,Rattus norvegicus,,,9866,,In vivo,,50597,A,1,,CHEMBL618654,,BAO_0000218,2048.0
7533,Intermediate,Rattus norvegicus,,,6351,,,,50597,A,1,,CHEMBL618655,,BAO_0000218,
7534,Intermediate,Rattus norvegicus,,,1465,,,,50597,A,1,,CHEMBL618656,,BAO_0000218,
7535,Intermediate,,,,5182,,,,22229,P,1,,CHEMBL618657,,BAO_0000100,
7536,Intermediate,Rattus norvegicus,,,17847,,,,50597,A,1,,CHEMBL618658,,BAO_0000218,
7537,Intermediate,Rattus norvegicus,,,15339,,,,50597,A,1,,CHEMBL618659,,BAO_0000218,
7538,Intermediate,Rattus norvegicus,,,5202,,,,50597,A,1,,CHEMBL618660,,BAO_0000218,
7539,Intermediate,Rattus norvegicus,,,1088,,,,50597,A,1,,CHEMBL618661,,BAO_0000218,
7540,Intermediate,Rattus norvegicus,,,3169,,,,50597,A,1,,CHEMBL873807,,BAO_0000218,
7541,Intermediate,Rattus norvegicus,,,5353,,,,50597,A,1,,CHEMBL618662,,BAO_0000218,
7542,Intermediate,Rattus norvegicus,,,2864,,In vivo,,50597,A,1,,CHEMBL618663,,BAO_0000218,
7543,Intermediate,Rattus norvegicus,,,2864,,In vivo,,50597,A,1,,CHEMBL618664,,BAO_0000218,
