ASSI,CONSC,SRASI,BAFO,CUB,TISI,ASSTI,ASCET,ASSUBFR,Ti,RELATT,SI,CHI,CEI,VARI
1,8,,BAO_0000019,Autocuration,,,,,12052,H,1,CHEMBL615117,,
2,0,,BAO_0000219,Autocuration,,,,,22226,U,1,CHEMBL615118,,
3,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615119,,
4,4,,BAO_0000249,Autocuration,,,,,104729,H,1,CHEMBL615120,,
5,1,,BAO_0000219,Intermediate,,,143B,,80001,N,1,CHEMBL615121,163.0,
6,1,,BAO_0000219,Intermediate,,,143B,,80001,N,1,CHEMBL615122,163.0,
7,1,,BAO_0000219,Intermediate,,,143B,,80001,N,1,CHEMBL615123,163.0,
8,1,,BAO_0000219,Expert,,,143B,,80001,N,1,CHEMBL615124,163.0,
9,1,,BAO_0000219,Intermediate,,,143B,,80001,N,1,CHEMBL615125,163.0,
10,1,,BAO_0000219,Intermediate,,,143B,,80001,N,1,CHEMBL615126,163.0,
11,1,,BAO_0000219,Intermediate,,,143B,,80001,N,1,CHEMBL615127,163.0,
12,1,,BAO_0000219,Expert,,,143B,,80001,N,1,CHEMBL615128,163.0,
13,1,,BAO_0000218,Intermediate,,,,,50185,N,1,CHEMBL857900,,
14,1,,BAO_0000218,Intermediate,,,,,50185,N,1,CHEMBL615129,,
15,1,,BAO_0000218,Intermediate,,,,,50185,N,1,CHEMBL615130,,
16,1,,BAO_0000218,Intermediate,,,,,50185,N,1,CHEMBL615131,,
17,9,,BAO_0000357,Expert,,,,,100122,D,1,CHEMBL884521,,
18,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615132,,
19,8,,BAO_0000019,Autocuration,,,,,12054,H,1,CHEMBL615133,,
20,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615134,,
21,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615135,,
22,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615136,,
23,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615137,,
24,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615138,,
25,0,,BAO_0000219,Autocuration,,,,,22226,U,1,CHEMBL836324,,
26,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615139,,
27,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615140,,
28,8,,BAO_0000219,Autocuration,,,,,12426,H,1,CHEMBL615141,,
29,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615142,,
30,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615143,,
31,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615144,,
32,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL872867,,
33,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615145,,
