assays_ASSI,assays_BFOR,assays_Descri,assays_TISI,assays_RELAT,assays_SI,assays_ASSCET,assays_CHI,assays_ASTET,assays_T,assays_DI,assays_ASSUBCEFR,assays_ASTIS,assays_ASSTY,assays_ASSST,assays_ASSCAT,assays_CURAB,assays_SASI,assays_CI,assays_VARI
1,BAO_0000019,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,,H,1,,CHEMBL615117,,12052,11087,,,B,,,Autocuration,,,
2,BAO_0000219,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,,U,1,,CHEMBL615118,,22226,684,,,F,,,Autocuration,,,
3,BAO_0000019,,,U,1,,CHEMBL615119,,22226,15453,,,B,,,Autocuration,,,
4,BAO_0000249,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,,H,1,,CHEMBL615120,,104729,17841,,,B,,,Autocuration,,,
5,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,N,1,143B,CHEMBL615121,,80001,17430,,,F,,,Intermediate,,163.0,
6,BAO_0000219,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),,N,1,143B,CHEMBL615122,,80001,17430,,,F,,,Intermediate,,163.0,
7,BAO_0000219,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,,N,1,143B,CHEMBL615123,,80001,13799,,,F,,,Intermediate,,163.0,
8,BAO_0000219,In vitro cell cytotoxicity was determined against 143B cell line,,N,1,143B,CHEMBL615124,,80001,17774,,,F,,,Expert,,163.0,
9,BAO_0000219,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,,N,1,143B,CHEMBL615125,,80001,3801,,,F,,,Intermediate,,163.0,
10,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,N,1,143B,CHEMBL615126,,80001,17430,,,F,,,Intermediate,,163.0,
11,BAO_0000219,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,,N,1,143B,CHEMBL615127,,80001,17430,,,F,,,Intermediate,,163.0,
12,BAO_0000219,In vitro cell cytotoxicity was determined against 143B-LTK cell line,,N,1,143B,CHEMBL615128,,80001,17774,,,F,,,Expert,,163.0,
13,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,1,,CHEMBL857900,,50185,11324,,,F,,,Intermediate,,,
14,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,1,,CHEMBL615129,,50185,11324,,,F,,,Intermediate,,,
