FiYe,CIDABusDeliMod,CoReID,Bio,OrganN,DivID,ProPr,DiviN,ContiID,SecID,PrNum,TrDev,BraN,ContiN,CounRegPer,UrIs,ChIss,YoIss,IndiIss,DisIs,ICTAAToFoDev,KnoFoDevelo,GeEq,OrgaID,OrgTy,OrgCl,OrgS,ProjBrCoID,CoReNa,SeID,SecN,SePerc,AmoSpe
2009/2010,Core Funding,X3,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,D5600,Uncoded: Pre-APP,MID International Organizations,3,S5602,M013170001,0,MFM Global Issues and Development,Asia,0.22,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X3,Asia MC,33140,Multilateral trade negotiations,0.14,75768.0
2009/2010,Core Funding,X3,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,D5600,Uncoded: Pre-APP,MID International Organizations,3,S5602,M013170001,0,MFM Global Issues and Development,Asia,0.22,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X3,Asia MC,99810,Sectors not specified,0.505,273306.0
2009/2010,Core Funding,X4,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,D5600,Uncoded: Pre-APP,MID International Organizations,5,S5602,M013170001,0,MFM Global Issues and Development,Europe,0.32,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X4,Europe MC,12191,Medical services,0.268,210969.6
2009/2010,Core Funding,X4,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,D5600,Uncoded: Pre-APP,MID International Organizations,5,S5602,M013170001,0,MFM Global Issues and Development,Europe,0.32,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X4,Europe MC,14015,Water resources conservation (including data collection),0.047,36998.4
2009/2010,Core Funding,X4,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,D5600,Uncoded: Pre-APP,MID International Organizations,5,S5602,M013170001,0,MFM Global Issues and Development,Europe,0.32,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X4,Europe MC,23510,Nuclear energy electric power plants,0.04,31488.0
2009/2010,Core Funding,X4,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,D5600,Uncoded: Pre-APP,MID International Organizations,5,S5602,M013170001,0,MFM Global Issues and Development,Europe,0.32,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X4,Europe MC,33140,Multilateral trade negotiations,0.14,110208.0
2009/2010,Core Funding,X4,0,IAEA - International Atomic Energy Agency Technical Cooperation Fund,D5600,Uncoded: Pre-APP,MID International Organizations,5,S5602,M013170001,0,MFM Global Issues and Development,Europe,0.32,0,0,0,0,0,1,1,0,1005967,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X4,Europe MC,99810,Sectors not specified,0.505,397536.0
2009/2010,Responsive,SV,0,PAHO - Pan American Health Organization,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,1,S5320,M013171001,0,MFM Global Issues and Development,America,1.0,0,0,0,0,0,0,0,0,1001300,Foreign Non-Profit Making,Multilateral,REGIONAL ORGANIZATION,SV,El Salvador,72010,Material relief assistance and services,1.0,300000.0
2009/2010,Core Funding,X1,0,ICRC Appeals via CRCS,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,2,S5330,M013172001,0,MFM Global Issues and Development,Africa,0.5,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,X1,Africa MC,72010,Material relief assistance and services,1.0,1500000.0
2009/2010,Core Funding,X2,0,ICRC Appeals via CRCS,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,1,S5330,M013172001,0,MFM Global Issues and Development,America,0.15,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,X2,Americas MC,72010,Material relief assistance and services,1.0,450000.0
2009/2010,Core Funding,X3,0,ICRC Appeals via CRCS,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,3,S5330,M013172001,0,MFM Global Issues and Development,Asia,0.3,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,X3,Asia MC,72010,Material relief assistance and services,1.0,900000.0
2009/2010,Core Funding,X4,0,ICRC Appeals via CRCS,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,5,S5330,M013172001,0,MFM Global Issues and Development,Europe,0.05,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,X4,Europe MC,72010,Material relief assistance and services,1.0,150000.0
2009/2010,Core Funding,X1,0,ICRC Appeals via CRCS,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,2,S5330,M013173001,0,MFM Global Issues and Development,Africa,0.5,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,X1,Africa MC,72010,Material relief assistance and services,1.0,1500000.0
2009/2010,Core Funding,X2,0,ICRC Appeals via CRCS,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,1,S5330,M013173001,0,MFM Global Issues and Development,America,0.15,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,X2,Americas MC,72010,Material relief assistance and services,1.0,450000.0
2009/2010,Core Funding,X3,0,ICRC Appeals via CRCS,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,3,S5330,M013173001,0,MFM Global Issues and Development,Asia,0.3,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,X3,Asia MC,72010,Material relief assistance and services,1.0,900000.0
2009/2010,Core Funding,X4,0,ICRC Appeals via CRCS,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,5,S5330,M013173001,0,MFM Global Issues and Development,Europe,0.05,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,X4,Europe MC,72010,Material relief assistance and services,1.0,150000.0
2009/2010,Responsive,LK,0,Mines Advisory Group,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,3,S5320,M013174001,0,MFM Global Issues and Development,Asia,1.0,0,0,0,0,0,0,0,0,1015332,Foreign Non-Profit Making,Civil Society,NGO,LK,Sri Lanka,72010,Material relief assistance and services,1.0,500000.0
2009/2010,Responsive,LK,0,The Halo Trust,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,3,S5320,M013175001,0,MFM Global Issues and Development,Asia,1.0,0,0,0,0,0,0,0,0,1015331,Foreign Non-Profit Making,Civil Society,NGO,LK,Sri Lanka,72010,Material relief assistance and services,1.0,500000.0
2009/2010,Responsive,X1,0,International Crisis Group,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,2,S5330,M013176001,0,MFM Global Issues and Development,Africa,0.5,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,Civil Society,NGO,X1,Africa MC,72050,Relief co-ordination; protection and support services,1.0,150000.0
2009/2010,Responsive,X2,0,International Crisis Group,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,1,S5330,M013176001,0,MFM Global Issues and Development,America,0.1,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,Civil Society,NGO,X2,Americas MC,72050,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,Responsive,X3,0,International Crisis Group,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,3,S5330,M013176001,0,MFM Global Issues and Development,Asia,0.3,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,Civil Society,NGO,X3,Asia MC,72050,Relief co-ordination; protection and support services,1.0,90000.0
2009/2010,Responsive,X4,0,International Crisis Group,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,5,S5330,M013176001,0,MFM Global Issues and Development,Europe,0.1,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,Civil Society,NGO,X4,Europe MC,72050,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,Responsive,YE,0,WFP - World Food Programme,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,3,S5320,M013177001,0,MFM Global Issues and Development,Asia,1.0,0,0,0,0,0,0,0,0,1001721,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,YE,Yemen,72040,Emergency food aid,1.0,500000.0
2009/2010,Responsive,CO,0,WFP - World Food Programme,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,1,S5320,M013178001,0,MFM Global Issues and Development,America,1.0,0,0,0,0,0,0,0,0,1001721,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,CO,Colombia,72040,Emergency food aid,1.0,1500000.0
