assay_id,curated_by,assay_tax_id,assay_test_type,src_id,tissue_id,assay_category,description,relationship_type,assay_subcellular_fraction,cell_id,doc_id,assay_type,assay_organism,assay_strain,assay_tissue,assay_cell_type
1,Autocuration,,,1,,,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,H,,,11087,B,,,,
2,Autocuration,,,1,,,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,U,,,684,F,,,,
3,Autocuration,,,1,,,,U,,,15453,B,,,,
4,Autocuration,9913.0,,1,,,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,H,,,17841,B,Bos taurus,,,
5,Intermediate,9606.0,,1,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,,163.0,17430,F,Homo sapiens,,,143B
6,Intermediate,9606.0,,1,,,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),N,,163.0,17430,F,Homo sapiens,,,143B
7,Intermediate,10090.0,,1,,,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,N,,163.0,13799,F,Mus musculus,,,143B
8,Expert,9606.0,,1,,,In vitro cell cytotoxicity was determined against 143B cell line,N,,163.0,17774,F,Homo sapiens,,,143B
9,Intermediate,9606.0,,1,,,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,N,,163.0,3801,F,Homo sapiens,,,143B
10,Intermediate,9606.0,,1,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,,163.0,17430,F,Homo sapiens,,,143B
11,Intermediate,9606.0,,1,,,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,N,,163.0,17430,F,Homo sapiens,,,143B
12,Expert,9606.0,,1,,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,N,,163.0,17774,F,Homo sapiens,,,143B
13,Intermediate,1280.0,,1,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,,11324,F,Staphylococcus aureus,,,
14,Intermediate,1280.0,,1,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,,11324,F,Staphylococcus aureus,,,
15,Intermediate,1280.0,,1,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,,11324,F,Staphylococcus aureus,,,
