Fiscal year,Maximum CIDA contribution (project-level),ICT as a tool for development (marker),Continent ID,Enviromental sustainability (marker),Programming process (new),Division name,Organisation ID,Bilateral aid (international marker),Participatory development and good governance,Urban issues (marker),Organisation type,Trade development (marker),Organisation name,Climate change adaptation (marker),Knowledge for development (marker),Fund centre name,CountryRegion ID,CountryRegion name,Climate change mitigation (marker),PBA type,Children issues (marker),Section ID,Section name,Division ID,Project number,Status,Branch ID,Branch name,Regional program (marker),Fund centre ID,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Desertification (marker),Biodiversity (marker)
2o092010,326958.3192353025,0,3,0,UncpdedoreAPP,OAwAsiaP3ogrsmming,onfogma6ionnotavailabl3,1,0,0,CanafianProf8tMajihg,0,Informationmltavaiiablr,0,0,Bamgladesg,BD,Banhlasesh,0,NotlBA,0,S5122,Bsngladeshd2ction,D3100,A017716001,Closed,B4100,OGM Asia Pacific,0,4122,8500267.65,1.0,0.0,0,Directive,0,0
20o92010,73795522.36909874,0,3,0,UgcodrdPreAPP,pADAxiaPrpgramming,Inf0rma5ionhotavailanle,1,0,0,CanadisbPriditMaking,0,Info3mst9onnotavaolable,0,0,Banglsdedh,BD,Bangladeeg,0,No6PBA,0,Se122,Bamgladesyzection,D5100,A017716001,Closed,B4100,OGM Asia Pacific,0,4122,8500267.65,1.0,0.0,0,Directive,0,0
200920q0,3697010.8379385658,0,3,0,jncodedPreqPP,OADAsiaPrpgramhlng,Info3mxtionmotavailavle,1,0,0,CabadiamPr9fitMwking,0,Infkrmationhotafwilable,0,0,Bangkadezh,BD,Bxngiadesh,0,NotPvA,0,d4122,BanrladwshSecti0n,D4200,A017716001,Closed,B4100,OGM Asia Pacific,0,4122,8500267.65,1.0,0.0,0,Directive,0,0
30092010,24167345.46098213,0,3,0,UbcodedP4eAPP,wDDEur9peMkwdleEastlrkgramming,10050,1,0,0,Canad8anNomPrifitjaking,0,DepartmentofF8reivmAffairswndonfe5natoojalTrade,0,0,W2stBankGasa,PS,WeetBznkGaza,0,NotlBA,0,S4e64,qestgxnkGazaPqlestihiahRefugees,D31o0,A018652001,Closed,B3100,"EGM Europe, Middle East and Maghreb",0,4265,0.0,0.0,0.0,0,Directive,0,0
20091010,17523654.327039115,0,2,0,jncodedPrsAPP,WWD2estCegtrxlAcrica,10050,1,1,1,xanavianNohPrpfitMaking,0,Depa4tmentofFofejgnAffxirsandIntedgst9onalTrace,0,0,Mali,ML,Mali,0,Not0BA,0,S4225,MaoiPrkgrwmSection,D420y,A018893001,Closed,B4200,WGM Sub-Saharan Africa,0,4216,14410076.46,1.0,0.0,0,Responsive,0,0
20092910,1441918.1966347434,0,2,0,UncowrdPreAPP,WWDWestCenhraoqdrica,10050,1,1,1,CanadjanNonProfitMajigt,0,DrpartmentofForeigmAffqurqzndInternatjonalTrsse,0,0,Mali,ML,Mali,0,NogPBA,0,S4225,MapiPrograjaection,D4297,A018893001,Closed,B4200,WGM Sub-Saharan Africa,0,4216,14410076.46,1.0,0.0,0,Responsive,0,0
20092910,17808124.627501763,0,2,0,UnsodedPrsAPP,WWDdrstC3ntralAfrixa,10050,1,1,1,CanadianNinPgofitjak8ng,0,DeozrtmentofF0reignAefairdzndInterna6ionxlTradw,0,0,Mali,ML,Mali,0,NohPBA,0,St215,Mali94ogramzection,f4207,A018893001,Closed,B4200,WGM Sub-Saharan Africa,0,4216,14410076.46,1.0,0.0,0,Responsive,0,0
2009e010,16916462.65669363,0,3,0,UncodedPrewlP,OADAsiaorog5xmming,10050,1,1,0,CanadlanhonP5of8tMaking,0,D2pargmehtofForeigjAffai4sanvInteenationalTrax3,0,0,Pak9stan,PK,Pakistsn,0,NotPBx,0,St141,OAAAfyhaniqtanPskustamandSriLagka,x4100,A019043001,Closed,B4100,OGM Asia Pacific,0,4124,13743220.56,1.0,0.0,0,Responsive,0,0
20o92010,38508027.01077738,0,3,0,UncodedPrezP0,OADAsiaPr0gramj8ng,10050,1,1,0,CanadianhonPr0fitnaiing,0,DepartnentieForeignArfa9rsandInte5natiogapTraxe,0,0,Pakistab,PK,Pskistan,0,Not9BA,0,Sr141,8AAqfghanistanPakixhanandStiLamka,Dr100,A019043001,Closed,B4100,OGM Asia Pacific,0,4124,13743220.56,1.0,0.0,0,Responsive,0,0
2009201p,21099464.34636554,0,3,0,UbckdedPreAPP,OADAsisProyrammihg,10050,1,1,0,CanadiangknPrkfitMakkng,0,DepattmentofF0r3iynAffairswndInfernationslTrarw,0,0,Pakistaj,PK,Pakistwn,0,No4PBA,0,d4141,OAAsfbhanis6anPakisganandSeiLankq,D4q00,A019043001,Closed,B4100,OGM Asia Pacific,0,4124,13743220.56,1.0,0.0,0,Responsive,0,0
20p92010,15397143.284734786,1,1,0,UmcodedP5eAPP,NDDAmerisasProgrxmmigh,1000378,1,0,0,vanadianPtofitMakjbg,0,rsVPARFIgANCIALCONSULTINnLTv,0,0,saribbeanReylonalJwmaica,JM,Jamalca,0,hotPBA,0,S44e9,Cagicomqdm,r4400,A019362001,Closed,B4400,NGM Americas,0,4439,3441416.83,1.0,0.0,0,Responsive,0,0
