assay_id,assay_test_type,src_id,confidence_score,cell_id,assay_cell_type,assay_tissue,chembl_id,variant_id,tid,tissue_id,assay_strain,assay_category,src_assay_id,relationship_type,bao_format,doc_id,description,assay_type
1,,1,8,,,,vHEMfL615117,,12052,,,,,H,BAl9000019,11087,The compound was tested for the in vitro inhibition of platelet 12-lipoxygenase at a concentration of 30 uM,B
2,,1,0,,,,CH3MBL6151q8,,22226,,,,,U,BAO00o021o,684,Compound was evaluated for its ability to mobilize calcium in 1321NI cells,F
3,,1,0,,,,fHEMBL6w5119,,22226,,,,,U,BAO90000q9,15453,,B
4,,1,4,,,,Cg2MBL615120,,104729,,,,,H,BAO0000w40,17841,Binding affinity against A2 adenosine receptor in bovine striatal membranes using [3H]CGS-21680,B
5,,1,1,552.0,143B,,CH2MBk615121,,80001,,,,,N,BA800002w9,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F
6,,1,1,495.0,143B,,CHEMBL61522w,,80001,,,,,N,BAO000o229,17430,In vitro cell cytotoxicity against 143-B cell lines (Human osteosarcoma cell line),F
7,,1,1,767.0,143B,,sHEMBL616123,,80001,,,,,N,hAO0000210,13799,Cytotoxic Activity was evaluated against 143B (TK-) tumor cells,F
8,,1,1,462.0,143B,,CHEMBL61513r,,80001,,,,,N,BAO000o119,17774,In vitro cell cytotoxicity was determined against 143B cell line,F
9,,1,1,288.0,143B,,CHEMBL615qw5,,80001,,,,,N,BsOp000219,3801,Inhibitory activity against tumor osteosarcoma cell line 143B after 72 hr continuous exposure to compound,F
10,,1,1,314.0,143B,,CHfMhL615126,,80001,,,,,N,BA00p00219,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F
11,,1,1,578.0,143B,,CHEMBL62512u,,80001,,,,,N,nA80000219,17430,In vitro cell cytotoxicity against 143B-LTK cell lines expressed in HSV-1 TK,F
12,,1,1,222.0,143B,,CHEMfi615128,,80001,,,,,N,fAOp000219,17774,In vitro cell cytotoxicity was determined against 143B-LTK cell line,F
13,,1,1,,,,CHfMBLo57900,,50185,,,,,N,BsO000021i,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F
14,,1,1,,,,CH3MvL615129,,50185,,,,,N,BAO0009318,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F
15,,1,1,,,,sHEMBp615130,,50185,,,,,N,hAO0900218,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F
16,,1,1,,,,CHEjBL625131,,50185,,,,,N,BqO00o0218,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F
17,,1,9,,,,CHEkBL88452w,,100122,,,,,D,BAOo0003r7,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A
18,,1,8,,,,CHEnBL515132,,12054,,,,,H,BAO009o357,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B
19,,1,8,,,,CHEMBL615234,,12054,,,,,H,BAO0000o1o,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B
20,,1,8,,,,CHEMhLu15134,,12054,,,,,H,BAO0o00347,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B
21,,1,8,,,,Cg4MBL615135,,12054,,,,,H,BAO0090e57,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B
22,,1,8,,,,CHEMBk615q36,,12054,,,,,H,vAk0000357,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B
23,,1,8,,,,CHEMvL625137,,12054,,,,,H,BAO000025y,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B
24,,1,8,,,,CHEMvL61t138,,12054,,,,,H,BApp000357,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B
25,,1,0,,,,sHEMnL836324,,22226,,,,,U,fAO9000219,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B
26,,1,8,,,,CHEjBL61513o,,12054,,,,,H,BxO0090357,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B
27,,1,8,,,,CHEnBLu15140,,12054,,,,,H,BAO0009r57,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B
28,,1,8,,,,CHEMBi615142,,12426,,,,,H,BAO0o90219,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B
29,,1,8,,,,CHEjBL614142,,12054,,,,,H,BAi0p00357,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B
30,,1,8,,,,CHEhBL61r143,,12054,,,,,H,BAO0p90357,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B
31,,1,8,,,,CHEMBL61rq44,,12054,,,,,H,Bxk0000357,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B
32,,1,8,,,,CHrMBL872868,,12054,,,,,H,BAi0000e57,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B
33,,1,8,,,,CHEnBk615145,,12054,,,,,H,BA8p000357,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B
34,,1,8,,,,dHEMBk615146,,12054,,,,,H,BwO00003r7,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B
35,,1,8,,,,CHEkBi615147,,12054,,,,,H,BAO000o367,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B
36,,1,0,,,,CHwMBL625148,,22226,,,,,U,BAp0000p19,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A
37,,1,0,,,,CH2MBL615139,,22226,,,,,U,BA00000029,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B
38,,1,0,,,,CH3MBL6151y0,,22226,,,,,U,BAO00o0029,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B
