Fiscal year,Gender equality (marker),Sector ID,Regional program (marker),Project Browser country ID,Project number,Sector name,Biodiversity (marker),Organisation class,Untied amount(Project-level budget),Section name,Maximum CIDA contribution (project-level),Children issues (marker),Enviromental sustainability (marker),ICT as a tool for development (marker),Amount spent,Section ID,Sector percent,Branch ID,Fund centre ID,Fund centre name,Status,IRTC percent,Division ID,Youth issues (marker),FSTC percent,Knowledge for development (marker),Trade development (marker),CFLI (marker),Indigenous issues (marker),CountryRegion ID,Programming process (new),Participatory development and good governance,Urban issues (marker),Continent name,Branch name,Division name,CIDA business delivery model (old),Bilateral aid (international marker),PBA type,Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker)
2009/2010,2,15150,0,BD,A017716001,Democratic participation and civil society,0,Individual,8500267.65,Bangladesh Section,8500267.65,0,0,0,3932.842,S4122,0.2,B4100,4122,Bangladesh,Closed,0.0,D4100,0,1.0,0,0,0,0,BD,Uncoded: Pre-APP,0,0,Asia,OGM Asia Pacific,OAD Asia Programming,Directive,1,Not PBA,0,0,0
2009/2010,2,24040,0,BD,A017716001,Informal/semi-formal financial intermediaries,0,Individual,8500267.65,Bangladesh Section,8500267.65,0,0,0,5899.263000000001,S4122,0.3,B4100,4122,Bangladesh,Closed,0.0,D4100,0,1.0,0,0,0,0,BD,Uncoded: Pre-APP,0,0,Asia,OGM Asia Pacific,OAD Asia Programming,Directive,1,Not PBA,0,0,0
2009/2010,2,25020,0,BD,A017716001,Privatization,0,Individual,8500267.65,Bangladesh Section,8500267.65,0,0,0,9832.105,S4122,0.5,B4100,4122,Bangladesh,Closed,0.0,D4100,0,1.0,0,0,0,0,BD,Uncoded: Pre-APP,0,0,Asia,OGM Asia Pacific,OAD Asia Programming,Directive,1,Not PBA,0,0,0
2009/2010,0,99810,0,PS,A018652001,Sectors not specified,0,Governmental,0.0,West Bank Gaza & Palestinian Refugees,500458.33,0,0,0,20502.06,S4264,1.0,B3100,4265,West Bank Gaza,Closed,0.0,D3100,0,0.0,0,0,0,0,PS,Uncoded: Pre-APP,0,0,Asia,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,Directive,1,Not PBA,0,0,0
2009/2010,2,16020,0,ML,A018893001,Employment policy and administrative management,0,Governmental,14410076.46,Mali Program Section,14410076.46,0,0,0,14226.985,S4215,0.5,B4200,4216,Mali,Closed,0.0,D4207,0,1.0,0,0,0,0,ML,Uncoded: Pre-APP,1,1,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Responsive,1,Not PBA,0,0,0
2009/2010,2,32310,0,ML,A018893001,Construction policy and administrative management,0,Governmental,14410076.46,Mali Program Section,14410076.46,0,0,0,11381.588,S4215,0.4,B4200,4216,Mali,Closed,0.0,D4207,0,1.0,0,0,0,0,ML,Uncoded: Pre-APP,1,1,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Responsive,1,Not PBA,0,0,0
2009/2010,2,43030,0,ML,A018893001,Urban development and management,0,Governmental,14410076.46,Mali Program Section,14410076.46,0,0,0,2845.397,S4215,0.1,B4200,4216,Mali,Closed,0.0,D4207,0,1.0,0,0,0,0,ML,Uncoded: Pre-APP,1,1,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Responsive,1,Not PBA,0,0,0
2009/2010,0,15110,0,PK,A019043001,Public sector policy and administrative management,0,Governmental,13743220.56,"OAA Afghanistan, Pakistan and Sri Lanka",13743220.56,0,0,0,142315.2,S4141,0.4,B4100,4124,Pakistan,Closed,0.0,D4100,0,1.0,0,0,0,0,PK,Uncoded: Pre-APP,1,0,Asia,OGM Asia Pacific,OAD Asia Programming,Responsive,1,Not PBA,0,0,0
2009/2010,0,15111,0,PK,A019043001,Public finance management,0,Governmental,13743220.56,"OAA Afghanistan, Pakistan and Sri Lanka",13743220.56,0,0,0,142315.2,S4141,0.4,B4100,4124,Pakistan,Closed,0.0,D4100,0,1.0,0,0,0,0,PK,Uncoded: Pre-APP,1,0,Asia,OGM Asia Pacific,OAD Asia Programming,Responsive,1,Not PBA,0,0,0
2009/2010,0,16010,0,PK,A019043001,Social/welfare services,0,Governmental,13743220.56,"OAA Afghanistan, Pakistan and Sri Lanka",13743220.56,0,0,0,71157.6,S4141,0.2,B4100,4124,Pakistan,Closed,0.0,D4100,0,1.0,0,0,0,0,PK,Uncoded: Pre-APP,1,0,Asia,OGM Asia Pacific,OAD Asia Programming,Responsive,1,Not PBA,0,0,0
